,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
299,John Egan,44,2019-2020,26,ie IRL,Sheffield Utd,eng Premier League,36,3187,35.4,36,0,0,2,0,2,2,0,0,0,44,27,34,10,0,25,45,55.6,20,39,27,12,58,102,171,4,DF,debe38a0
300,Grant Hanley,44,2021-2022,29,sct SCO,Norwich City,eng Premier League,33,2897,32.2,33,0,0,1,0,1,1,0,0,0,44,25,28,14,2,18,35,51.4,17,56,45,11,56,100,176,2,DF,e9254eec
301,Toti Gomes,44,2023-2024,24,pt POR,Wolves,eng Premier League,35,2772,30.8,31,4,3,1,3,4,1,0,0,0,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2,DF,f0caab96
302,James Milner,43,2018-2019,32,eng ENG,Liverpool,eng Premier League,31,1789,19.9,19,12,2,5,4,9,2,3,3,0,43,23,14,24,5,15,41,36.6,26,40,5,35,18,61,30,0,MFDF,2f90f6b8
303,Aaron Cresswell,43,2019-2020,29,eng ENG,West Ham,eng Premier League,31,2727,30.3,31,0,0,3,0,3,3,0,0,0,43,26,21,18,4,23,46,50.0,23,33,10,23,35,78,75,2,DF,4f974391
304,Thilo Kehrer,43,2022-2023,25,de GER,West Ham,eng Premier League,27,2230,24.8,25,2,8,0,2,2,0,0,0,0,43,24,25,14,4,21,45,46.7,24,16,6,10,34,77,76,1,DF,51dbeea9
305,César Azpilicueta,43,2022-2023,32,es ESP,Chelsea,eng Premier League,25,1527,17.0,16,9,6,0,0,0,0,0,0,0,43,25,23,15,5,22,37,59.5,15,26,5,21,19,62,54,1,DF,53cad200
306,Patrick van Aanholt,43,2019-2020,28,nl NED,Crystal Palace,eng Premier League,29,2507,27.9,29,0,0,3,2,5,2,1,1,0,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,DF,5f09991f
307,Jack Robinson,43,2023-2024,29,eng ENG,Sheffield Utd,eng Premier League,34,2885,32.1,31,3,0,1,1,2,1,0,0,0,43,28,29,14,0,25,39,64.1,14,49,33,16,33,76,132,2,DF,7399c7a8
308,Cyrus Christie,43,2018-2019,25,ie IRL,Fulham,eng Premier League,28,1948,21.6,19,9,10,0,1,1,0,0,0,0,43,23,26,13,4,18,41,43.9,23,25,11,14,29,72,96,1,DFMF,7eb67dad
309,Joel Ward,43,2020-2021,30,eng ENG,Crystal Palace,eng Premier League,26,2256,25.1,25,1,7,0,1,1,0,0,0,0,43,25,29,14,0,24,42,57.1,18,27,8,19,41,84,87,2,DF,8a7ff278
310,Ben Chilwell,43,2019-2020,22,eng ENG,Leicester City,eng Premier League,27,2373,26.4,27,0,1,3,3,6,3,0,0,0,43,26,28,13,2,23,52,44.2,29,30,6,24,28,71,68,2,DF,d2424d1b
311,Rob Holding,43,2020-2021,24,eng ENG,Arsenal,eng Premier League,30,2558,28.4,28,2,5,0,1,1,0,0,0,0,43,20,28,13,2,17,35,48.6,18,37,27,10,24,67,120,0,DF,d79a8c87
312,Moussa Niakhate,42,2023-2024,27,sn SEN,Nott'ham Forest,eng Premier League,21,1460,16.2,15,6,12,1,0,1,1,0,0,0,42,25,33,9,0,20,25,80.0,5,19,12,7,14,56,51,0,DF,00242715
313,Ezri Konsa,42,2022-2023,24,eng ENG,Aston Villa,eng Premier League,38,3322,36.9,37,1,0,0,0,0,0,0,0,0,42,20,25,15,2,18,26,69.2,8,41,23,18,26,68,120,3,DF,0313a347
314,Séamus Coleman,42,2019-2020,30,ie IRL,Everton,eng Premier League,27,1839,20.4,21,6,6,0,1,1,0,0,0,0,42,31,24,14,4,19,25,76.0,6,21,9,12,24,66,43,1,DF,0420d84f
315,Bobby De Cordova-Reid,42,2022-2023,29,jm JAM,Fulham,eng Premier League,36,2475,27.5,29,7,1,4,1,5,4,0,0,0,42,24,14,14,14,16,36,44.4,20,25,3,22,20,62,28,1,FWDF,0f7533cd
316,Aymeric Laporte,42,2018-2019,24,es ESP,Manchester City,eng Premier League,35,3057,34.0,34,1,1,3,3,6,3,0,0,0,42,20,27,14,1,22,34,64.7,12,16,9,7,39,81,98,2,DF,119b9a8e
317,Lewis Dunk,42,2018-2019,26,eng ENG,Brighton,eng Premier League,36,3151,35.0,36,0,0,2,1,3,2,0,0,0,42,26,31,10,1,17,39,43.6,22,49,38,11,46,88,196,5,DF,282f75f3
318,Felipe,42,2022-2023,33,br BRA,Nott'ham Forest,eng Premier League,16,1418,15.8,15,1,1,0,1,1,0,0,0,0,42,23,29,13,0,24,41,58.5,17,34,13,21,36,78,90,0,DF,51a3c4c8
319,Yan Valery,42,2018-2019,19,tn TUN,Southampton,eng Premier League,23,1712,19.0,20,3,1,2,1,3,2,0,0,0,42,36,26,10,6,16,29,55.2,13,24,3,21,22,64,72,1,DF,531a4aa8
320,Ivan Perišić,42,2022-2023,33,hr CRO,Tottenham,eng Premier League,34,2108,23.4,23,11,3,1,8,9,1,0,0,0,42,24,25,10,7,27,47,57.4,20,29,7,22,22,64,49,1,DFMF,6fe90922
321,Manuel Akanji,42,2023-2024,28,ch SUI,Manchester City,eng Premier League,30,2511,27.9,28,2,4,2,0,2,2,0,0,0,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3,DFMF,89ac64a6
322,Fernando Marçal,42,2021-2022,32,br BRA,Wolves,eng Premier League,18,1449,16.1,17,1,14,0,0,0,0,0,0,0,42,22,27,14,1,21,37,56.8,16,25,4,21,28,70,52,0,MFDF,9ae9eaea
323,Jefferson Lerma,42,2023-2024,28,co COL,Crystal Palace,eng Premier League,28,2400,26.7,27,1,0,1,1,2,1,0,0,0,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0,MFDF,9b5ce51a
324,Aaron Wan-Bissaka,42,2023-2024,25,cd COD,Manchester Utd,eng Premier League,22,1780,19.8,20,2,3,0,2,2,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,DF,9e525177
325,Sokratis Papastathopoulos,42,2018-2019,30,gr GRE,Arsenal,eng Premier League,25,2198,24.4,25,0,3,1,2,3,1,0,0,0,42,25,30,11,1,15,28,53.6,13,34,17,17,26,68,112,1,DF,b682dcf6
326,Fabian Schär,42,2023-2024,31,ch SUI,Newcastle Utd,eng Premier League,36,3054,33.9,35,1,0,4,1,5,4,0,0,0,42,24,27,13,2,18,40,45.0,22,50,38,12,36,78,133,1,DF,c8aa95da
327,Ben Chilwell,42,2020-2021,23,eng ENG,Chelsea,eng Premier League,27,2286,25.4,27,0,7,3,5,8,3,0,0,0,42,22,16,22,4,15,33,45.5,18,28,3,25,24,66,58,0,DF,d2424d1b
328,Joachim Andersen,42,2022-2023,26,dk DEN,Crystal Palace,eng Premier League,32,2782,30.9,32,0,0,1,0,1,1,0,0,0,42,22,30,12,0,16,32,50.0,16,28,13,15,24,66,188,1,DF,e34fc66d
329,Federico Fernández,42,2019-2020,30,ar ARG,Newcastle Utd,eng Premier League,32,2620,29.1,29,3,4,2,2,4,2,0,0,0,42,25,30,10,2,23,46,50.0,23,41,28,13,24,66,190,2,DF,f25b010f
330,Jan Bednarek,41,2018-2019,22,pl POL,Southampton,eng Premier League,25,2151,23.9,24,1,1,0,1,1,0,0,0,0,41,25,25,16,0,21,37,56.8,16,44,27,17,71,112,171,0,DF,4115ce4e
331,Arthur Masuaku,41,2019-2020,25,cd COD,West Ham,eng Premier League,17,937,10.4,10,7,7,0,1,1,0,0,0,0,41,23,24,13,4,23,39,59.0,16,19,5,14,14,55,23,0,DF,57df7a11
332,Thiago Silva,41,2022-2023,37,br BRA,Chelsea,eng Premier League,27,2352,26.1,26,1,2,0,2,2,0,0,0,0,41,27,24,17,0,21,31,67.7,10,38,29,9,34,75,111,3,DF,86e7deaf
333,Craig Cathcart,41,2019-2020,30,nir NIR,Watford,eng Premier League,29,2488,27.6,28,1,7,0,0,0,0,0,0,0,41,26,25,15,1,10,24,41.7,14,19,16,3,25,66,136,1,DF,89e4b358
334,Ben Mee,41,2019-2020,29,eng ENG,Burnley,eng Premier League,32,2880,32.0,32,0,0,1,1,2,1,0,0,0,41,22,25,16,0,17,29,58.6,12,42,31,11,42,83,165,2,DF,8df7a2fb
335,William Saliba,41,2023-2024,22,fr FRA,Arsenal,eng Premier League,38,3420,38.0,38,0,0,2,1,3,2,0,0,0,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3,DF,972aeb2a
336,Matthew Lowton,41,2019-2020,30,eng ENG,Burnley,eng Premier League,17,1530,17.0,17,0,9,0,1,1,0,0,0,0,41,22,20,18,3,22,33,66.7,11,20,6,14,27,68,57,1,DF,9a9c05db
337,David Luiz,41,2018-2019,31,br BRA,Chelsea,eng Premier League,36,3238,36.0,36,0,2,3,2,5,3,0,0,0,41,31,27,13,1,21,28,75.0,7,33,18,15,35,76,149,1,DF,c0e27d1a
338,Michael Keane,41,2018-2019,25,eng ENG,Everton,eng Premier League,33,2969,33.0,33,0,2,1,2,3,1,0,0,0,41,25,22,16,3,19,32,59.4,13,30,22,8,43,84,185,4,DF,c5b7c315
339,Gabriel Osho,41,2023-2024,24,ng NGA,Luton Town,eng Premier League,21,1846,20.5,21,0,1,2,0,2,2,0,0,0,41,22,21,19,1,16,27,59.3,11,37,20,17,31,72,92,0,DF,cd889153
340,Davinson Sánchez,41,2021-2022,25,co COL,Tottenham,eng Premier League,23,1631,18.1,17,6,14,2,0,2,2,0,0,0,41,22,25,14,2,19,28,67.9,9,24,16,8,30,71,54,3,DF,da7b447d
341,Liam Cooper,41,2021-2022,29,sct SCO,Leeds United,eng Premier League,21,1814,20.2,21,0,1,0,1,1,0,0,0,0,41,23,27,13,1,23,33,69.7,10,29,18,11,43,84,72,2,DF,dc64b8b3
342,John Egan,41,2020-2021,27,ie IRL,Sheffield Utd,eng Premier League,31,2629,29.2,30,1,0,0,1,1,0,0,0,0,41,21,29,12,0,22,39,56.4,17,43,31,12,41,82,131,0,DF,debe38a0
343,Ainsley Maitland-Niles,41,2019-2020,21,eng ENG,Arsenal,eng Premier League,20,1386,15.4,15,5,8,0,2,2,0,0,0,0,41,23,34,5,2,22,43,51.2,21,12,3,9,28,69,38,0,DF,e3a5814e
344,Marcos Alonso,41,2021-2022,30,es ESP,Chelsea,eng Premier League,28,2167,24.1,25,3,6,4,4,8,4,0,0,0,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0,DF,f4290206
345,Pontus Jansson,40,2021-2022,30,se SWE,Brentford,eng Premier League,37,3321,36.9,37,0,0,3,1,4,3,0,0,0,40,21,32,8,0,22,34,64.7,12,37,27,10,52,92,187,0,DF,172e52d8
346,Sam Byram,40,2019-2020,25,eng ENG,Norwich City,eng Premier League,17,1293,14.4,15,2,9,0,0,0,0,0,0,0,40,22,24,11,5,18,37,48.6,19,16,8,8,26,66,73,0,DF,1bf811d4
347,Lewis Dunk,40,2019-2020,27,eng ENG,Brighton,eng Premier League,36,3230,35.9,36,0,0,3,3,6,3,0,0,0,40,24,23,17,0,15,34,44.1,19,55,33,22,55,95,125,2,DF,282f75f3
348,Sergio Reguilón,40,2021-2022,24,es ESP,Tottenham,eng Premier League,25,1916,21.3,22,3,6,2,3,5,2,0,0,0,40,24,15,18,7,22,43,51.2,21,20,8,12,31,71,45,1,DFMF,3353737a
349,Fabián Balbuena,40,2018-2019,26,py PAR,West Ham,eng Premier League,23,2013,22.4,23,0,4,1,0,1,1,0,0,0,40,20,34,6,0,16,42,38.1,26,23,15,8,53,93,175,0,DF,3626f7d9
350,Oleksandr Zinchenko,40,2022-2023,25,ua UKR,Arsenal,eng Premier League,27,2118,23.5,26,1,0,1,2,3,1,0,0,0,40,18,14,17,9,21,40,52.5,19,20,2,18,22,62,38,2,DF,51cf8561
351,Trevoh Chalobah,40,2021-2022,22,eng ENG,Chelsea,eng Premier League,20,1449,16.1,17,3,13,3,1,4,3,0,0,0,40,27,22,18,0,24,31,77.4,7,16,6,10,19,59,43,2,DF,5515376c
352,Alex Iwobi,40,2021-2022,25,ng NGA,Everton,eng Premier League,28,2035,22.6,22,6,7,2,2,4,2,0,0,0,40,19,23,12,5,21,52,40.4,31,39,3,36,20,60,25,2,MFDF,6ca5ec4b
353,Kyle Walker,40,2018-2019,28,eng ENG,Manchester City,eng Premier League,33,2779,30.9,30,3,4,1,1,2,1,0,0,0,40,26,20,20,0,24,38,63.2,14,19,5,14,36,76,58,2,DF,86dd77d1
354,Aaron Wan-Bissaka,40,2022-2023,24,cd COD,Manchester Utd,eng Premier League,19,1435,15.9,16,3,7,0,0,0,0,0,0,0,40,25,20,17,3,23,25,92.0,2,24,8,16,22,62,41,0,DF,9e525177
355,Romain Saïss,40,2021-2022,31,ma MAR,Wolves,eng Premier League,31,2705,30.1,31,0,2,2,0,2,2,0,0,0,40,27,28,11,1,19,33,57.6,14,41,21,20,58,98,158,2,DF,9fbbcf39
356,Jan Vertonghen,40,2019-2020,32,be BEL,Tottenham,eng Premier League,23,1645,18.3,19,4,11,1,1,2,1,0,0,0,40,24,25,14,1,20,31,64.5,11,18,10,8,33,73,68,0,DF,ba23a904
357,João Cancelo,40,2019-2020,25,pt POR,Manchester City,eng Premier League,17,1208,13.4,13,4,17,0,0,0,0,0,0,0,40,24,21,12,7,24,40,60.0,16,9,2,7,21,61,18,0,DF,bd6351cd
358,Trent Alexander-Arnold,40,2021-2022,22,eng ENG,Liverpool,eng Premier League,32,2853,31.7,32,0,2,2,12,14,2,0,0,0,40,23,19,13,8,27,60,45.0,33,22,4,18,43,83,40,0,DF,cd1acf9d
359,Semi Ajayi,40,2020-2021,26,ng NGA,West Brom,eng Premier League,33,2780,30.9,31,2,4,2,0,2,2,0,0,0,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,DF,d6192210
360,Davinson Sánchez,40,2020-2021,24,co COL,Tottenham,eng Premier League,18,1486,16.5,17,1,10,0,0,0,0,0,0,0,40,20,31,9,0,21,32,65.6,11,18,13,5,14,54,85,2,DF,da7b447d
361,Virgil van Dijk,40,2023-2024,32,nl NED,Liverpool,eng Premier League,36,3177,35.3,36,0,0,2,2,4,2,0,0,0,40,23,24,13,3,12,14,85.7,2,47,34,13,39,79,144,0,DF,e06683ca
362,Victor Lindelöf,40,2018-2019,24,se SWE,Manchester Utd,eng Premier League,30,2601,28.9,29,1,2,1,1,2,1,0,0,0,40,27,28,12,0,13,23,56.5,10,21,12,9,24,64,121,3,DF,f5deef4c
363,Toby Alderweireld,40,2019-2020,30,be BEL,Tottenham,eng Premier League,33,2957,32.9,33,0,5,2,2,4,2,0,0,0,40,29,24,13,3,11,24,45.8,13,48,32,16,31,71,172,2,DF,f7d50789
364,Séamus Coleman,39,2020-2021,31,ie IRL,Everton,eng Premier League,25,1613,17.9,18,7,3,0,3,3,0,0,0,0,39,26,21,14,4,21,30,70.0,9,22,6,16,13,52,37,2,DFMF,0420d84f
365,Dara O'Shea,39,2023-2024,24,ie IRL,Burnley,eng Premier League,33,2892,32.1,32,1,1,3,4,7,3,0,0,0,39,20,22,14,3,11,26,42.3,15,41,30,11,35,74,158,2,DF,1d042188
366,Rúben Dias,39,2023-2024,26,pt POR,Manchester City,eng Premier League,30,2559,28.4,28,2,5,0,0,0,0,0,0,0,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0,DF,31c69ef1
367,Yerry Mina,39,2019-2020,24,co COL,Everton,eng Premier League,29,2284,25.4,25,4,2,2,1,3,2,0,0,0,39,22,25,12,2,18,24,75.0,6,20,14,6,28,67,102,1,DF,6d5701f2
368,Javier Manquillo,39,2019-2020,25,es ESP,Newcastle Utd,eng Premier League,21,1599,17.8,18,3,5,0,1,1,0,0,0,0,39,26,27,8,4,24,38,63.2,14,14,2,12,18,57,56,0,DF,758dd7f0
369,Javier Manquillo,39,2021-2022,27,es ESP,Newcastle Utd,eng Premier League,19,1257,14.0,15,4,11,1,2,3,1,0,0,0,39,29,28,10,1,21,36,58.3,15,15,6,9,10,49,32,0,DF,758dd7f0
370,Danny Rose,39,2019-2020,29,eng ENG,2 Teams,eng Premier League,23,1756,19.5,20,3,5,0,0,0,0,0,0,0,39,23,17,18,4,21,41,51.2,20,25,10,15,18,57,48,3,DF,89d10e53
371,Romain Saïss,39,2018-2019,28,ma MAR,Wolves,eng Premier League,19,1149,12.8,12,7,15,2,0,2,2,0,0,0,39,26,23,14,2,20,37,54.1,17,25,12,13,26,65,61,0,MFDF,9fbbcf39
372,Lee Peltier,39,2018-2019,31,eng ENG,Cardiff City,eng Premier League,20,1544,17.2,17,3,11,0,0,0,0,0,0,0,39,25,27,11,1,15,27,55.6,12,18,12,6,18,57,60,0,DF,af341b88
373,Joël Matip,39,2018-2019,26,cm CMR,Liverpool,eng Premier League,22,1537,17.1,17,5,9,1,0,1,1,0,0,0,39,26,23,12,4,13,24,54.2,11,12,7,5,32,71,78,0,DF,b217ef29
374,Jan Vertonghen,39,2018-2019,31,be BEL,Tottenham,eng Premier League,22,1911,21.2,22,0,1,1,0,1,1,0,0,0,39,24,17,20,2,14,24,58.3,10,18,11,7,32,71,81,0,DF,ba23a904
375,Fabian Schär,39,2019-2020,27,ch SUI,Newcastle Utd,eng Premier League,22,1672,18.6,18,4,10,2,0,2,2,0,0,0,39,21,25,14,0,19,40,47.5,21,35,18,17,47,86,74,2,DFMF,c8aa95da
376,Charlie Taylor,39,2019-2020,25,eng ENG,Burnley,eng Premier League,24,1945,21.6,22,2,6,0,1,1,0,0,0,0,39,24,26,9,4,19,39,48.7,20,29,9,20,29,68,78,1,DF,cc2d7ad5
377,Trent Alexander-Arnold,39,2023-2024,24,eng ENG,Liverpool,eng Premier League,28,2155,23.9,25,3,0,3,4,7,3,0,0,0,39,26,26,11,2,27,87,31.0,60,22,2,20,31,70,48,5,DF,cd1acf9d
378,Jacob Murphy,39,2020-2021,25,eng ENG,Newcastle Utd,eng Premier League,26,1626,18.1,17,9,7,2,3,5,2,0,0,0,39,24,25,12,2,24,49,49.0,25,27,3,24,14,53,29,0,DFMF,de112b84
379,Jordan Zemura,39,2022-2023,22,zw ZIM,Bournemouth,eng Premier League,19,1454,16.2,17,2,5,0,1,1,0,0,0,0,39,24,24,14,1,23,44,52.3,21,31,9,22,16,55,32,0,DF,e8271ad9
380,Mohammed Salisu,38,2020-2021,21,gh GHA,Southampton,eng Premier League,12,844,9.4,8,4,11,0,0,0,0,0,0,0,38,21,20,16,2,25,34,73.5,9,22,5,17,17,55,30,0,DF,0b33f6ad
381,Aaron Hickey,38,2022-2023,20,sct SCO,Brentford,eng Premier League,26,1916,21.3,23,3,2,0,1,1,0,0,0,0,38,26,27,11,0,18,32,56.3,14,18,7,11,17,55,32,1,DF,1780bb4a
382,Andreas Christensen,38,2019-2020,23,dk DEN,Chelsea,eng Premier League,21,1751,19.5,21,0,14,0,0,0,0,0,0,0,38,21,25,12,1,15,21,71.4,6,12,8,4,29,67,56,0,DF,1cb49278
383,Andrew Robertson,38,2022-2023,28,sct SCO,Liverpool,eng Premier League,34,2583,28.7,29,5,1,0,8,8,0,0,0,0,38,21,12,16,10,21,41,51.2,20,32,5,27,18,56,50,3,DF,2e4f5f03
384,Clément Lenglet,38,2022-2023,27,fr FRA,Tottenham,eng Premier League,26,2019,22.4,24,2,11,0,2,2,0,0,0,0,38,23,18,15,5,16,34,47.1,18,26,11,15,18,56,68,2,DF,4f28a6ff
385,Victor Bernth Kristiansen,38,2022-2023,19,dk DEN,Leicester City,eng Premier League,12,892,9.9,11,1,2,0,1,1,0,0,0,0,38,23,18,16,4,22,30,73.3,8,16,4,12,3,41,26,1,DF,505486d6
386,Ibrahima Konaté,38,2022-2023,23,fr FRA,Liverpool,eng Premier League,18,1552,17.2,17,1,3,0,0,0,0,0,0,0,38,26,25,13,0,16,27,59.3,11,12,5,7,26,64,61,4,DF,5ed9b537
387,Angelo Ogbonna,38,2019-2020,31,it ITA,West Ham,eng Premier League,31,2786,31.0,31,0,5,2,0,2,2,0,0,0,38,24,20,14,4,18,32,56.3,14,50,32,18,27,65,134,1,DF,74b2cd7e
388,Cédric Soares,38,2021-2022,29,pt POR,Arsenal,eng Premier League,21,1486,16.5,16,5,12,1,1,2,1,0,0,0,38,26,23,9,6,16,25,64.0,9,18,7,11,16,54,31,1,DF,839c14e1
389,Kyle Walker,38,2023-2024,33,eng ENG,Manchester City,eng Premier League,32,2767,30.7,30,2,3,0,4,4,0,0,0,0,38,24,19,17,2,19,39,48.7,20,19,6,13,27,65,40,1,DF,86dd77d1
390,Matthew Lowton,38,2021-2022,32,eng ENG,Burnley,eng Premier League,25,1772,19.7,20,5,12,1,2,3,1,0,0,0,38,24,20,10,8,20,37,54.1,17,25,11,14,26,64,68,0,DF,9a9c05db
391,Kristoffer Ajer,38,2023-2024,25,no NOR,Brentford,eng Premier League,28,1832,20.4,21,7,1,2,1,3,2,0,0,0,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,DF,a8c0acb7
392,Nathan Collins,38,2023-2024,22,ie IRL,Brentford,eng Premier League,32,2652,29.5,29,3,1,1,1,2,1,0,0,0,38,20,24,12,2,19,29,65.5,10,46,30,16,44,82,141,4,DF,a8c19eb8
393,Dan Burn,38,2021-2022,29,eng ENG,2 Teams,eng Premier League,29,2462,27.4,28,1,3,1,1,2,1,0,0,0,38,23,24,12,2,13,26,50.0,13,36,24,12,44,82,152,0,DF,b2d31e83
394,Ryan Fredericks,38,2018-2019,25,eng ENG,West Ham,eng Premier League,15,1086,12.1,12,3,8,1,0,1,1,0,0,0,38,23,33,5,0,21,32,65.6,11,15,5,10,13,51,49,1,DF,c067631c
395,Sven Botman,38,2022-2023,22,nl NED,Newcastle Utd,eng Premier League,36,3127,34.7,35,1,2,0,0,0,0,0,0,0,38,24,31,7,0,22,28,78.6,6,44,24,20,34,72,126,2,DF,ccce7025
396,Liam Cooper,38,2022-2023,30,sct SCO,Leeds United,eng Premier League,18,1426,15.8,16,2,7,1,0,1,1,0,0,0,38,23,27,9,2,23,36,63.9,13,16,8,8,34,72,57,3,DF,dc64b8b3
397,Adam Masina,38,2019-2020,25,ma MAR,Watford,eng Premier League,26,1821,20.2,20,6,3,1,0,1,1,0,0,0,38,22,24,11,3,14,37,37.8,23,26,12,14,28,66,66,0,DF,de0f152c
398,Virgil van Dijk,38,2018-2019,27,nl NED,Liverpool,eng Premier League,38,3384,37.6,38,0,0,4,2,6,4,0,0,0,38,28,26,11,1,14,14,100.0,0,29,18,11,40,78,201,1,DF,e06683ca
399,Nathaniel Clyne,37,2018-2019,27,eng ENG,2 Teams,eng Premier League,18,1254,13.9,14,4,3,0,1,1,0,0,0,0,37,21,18,16,3,13,27,48.1,14,14,3,11,18,55,34,1,DF,0442183b
400,Adam Smith,37,2023-2024,32,eng ENG,Bournemouth,eng Premier League,28,2150,23.9,25,3,6,0,2,2,0,0,0,0,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,DF,20b104bc