,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
401,Mesut Özil,758,2019-2020,30,de GER,Arsenal,eng Premier League,18,1438,16.0,18,0,4,1,2,3,1,0,0,0,758,913,83.0,37,63,25,0,114,11455,3088,414,442,93.7,257,295,87.1,54,100,54.0,MF,16380240
402,Idrissa Gana Gueye,758,2023-2024,33,sn SEN,Everton,eng Premier League,25,1884,20.9,24,1,3,4,0,4,4,0,0,0,758,898,84.4,15,70,9,1,83,11688,3236,384,428,89.7,317,361,87.8,39,66,59.1,MF,72c812f3
403,Gylfi Sigurðsson,758,2020-2021,30,is ISL,Everton,eng Premier League,36,2253,25.0,24,12,2,6,5,11,3,3,4,1,758,963,78.7,44,55,22,5,81,12289,3249,378,429,88.1,268,307,87.3,69,141,48.9,MFFW,76dd1480
404,Gustavo Hamer,756,2023-2024,26,nl NED,Sheffield Utd,eng Premier League,36,2910,32.3,34,2,0,4,6,10,4,0,0,0,756,1103,68.5,70,94,37,7,135,12613,4882,373,451,82.7,266,345,77.1,80,222,36.0,MF,eebacc07
405,Vitaly Janelt,755,2021-2022,23,de GER,Brentford,eng Premier League,31,2298,25.5,27,4,1,4,0,4,4,0,0,0,755,1005,75.1,23,80,13,3,103,12860,4122,341,413,82.6,321,388,82.7,65,136,47.8,MF,8449d35e
406,Wilfred Ndidi,754,2022-2023,25,ng NGA,Leicester City,eng Premier League,27,1679,18.7,19,8,4,0,0,0,0,0,0,0,754,899,83.9,3,49,0,0,51,11486,2879,392,429,91.4,304,348,87.4,31,67,46.3,MF,6b47c5db
407,André Gomes,752,2020-2021,27,pt POR,Everton,eng Premier League,28,1570,17.4,17,11,6,0,1,1,0,0,0,0,752,908,82.8,15,79,14,2,103,13045,3344,351,392,89.5,282,315,89.5,82,126,65.1,MF,1961b2aa
408,Sergio Reguilón,750,2021-2022,24,es ESP,Tottenham,eng Premier League,25,1916,21.3,22,3,6,2,3,5,2,0,0,0,750,994,75.5,29,35,31,21,50,11784,3362,394,453,87.0,271,355,76.3,54,99,54.5,DFMF,3353737a
409,Kobbie Mainoo,748,2023-2024,18,eng ENG,Manchester Utd,eng Premier League,24,1924,21.4,24,0,5,3,1,4,3,0,0,0,748,868,86.2,15,47,9,1,64,10519,2654,439,486,90.3,237,266,89.1,31,51,60.8,MF,c6220452
410,Fernandinho,746,2021-2022,36,br BRA,Manchester City,eng Premier League,19,964,10.7,10,9,19,2,1,3,2,0,0,0,746,842,88.6,10,74,17,1,81,12820,3829,344,368,93.5,326,360,90.6,56,79,70.9,MFDF,101da2b5
411,Wilfred Ndidi,746,2021-2022,24,ng NGA,Leicester City,eng Premier League,19,1618,18.0,18,1,2,0,0,0,0,0,0,0,746,935,79.8,2,36,4,0,57,11258,3104,393,465,84.5,279,332,84.0,41,65,63.1,MFDF,6b47c5db
412,Mario Lemina,744,2020-2021,26,ga GAB,Fulham,eng Premier League,28,1703,18.9,19,9,2,1,0,1,1,0,0,0,744,897,82.9,12,57,12,0,78,13301,3779,330,382,86.4,318,364,87.4,75,114,65.8,MF,2b471f99
413,Jonjo Shelvey,743,2021-2022,29,eng ENG,Newcastle Utd,eng Premier League,24,1983,22.0,22,2,1,2,1,3,2,0,0,0,743,948,78.4,16,91,9,1,84,15780,5306,260,303,85.8,299,351,85.2,165,256,64.5,MF,3727dd3c
414,Rodrigo Bentancur,738,2022-2023,25,uy URU,Tottenham,eng Premier League,18,1500,16.7,17,1,0,5,2,7,5,0,0,0,738,880,83.9,11,54,9,4,76,11482,3178,368,413,89.1,301,336,89.6,39,70,55.7,MF,3b8674e6
415,Eric Dier,738,2019-2020,25,eng ENG,Tottenham,eng Premier League,19,1344,14.9,15,4,13,0,2,2,0,0,0,0,738,922,80.0,7,51,2,0,37,13834,4583,272,319,85.3,376,429,87.6,74,132,56.1,DFMF,ac861941
416,Conor Gallagher,737,2020-2021,20,eng ENG,West Brom,eng Premier League,30,2531,28.1,28,2,2,2,2,4,2,0,0,0,737,960,76.8,20,75,12,1,97,12114,2989,361,421,85.7,252,303,83.2,81,146,55.5,MF,c2731c10
417,Paul Pogba,736,2021-2022,28,fr FRA,Manchester Utd,eng Premier League,20,1349,15.0,16,4,0,1,9,10,1,0,0,0,736,893,82.4,24,99,24,2,117,13244,3871,350,400,87.5,255,296,86.1,105,132,79.5,MFFW,867239d3
418,Will Hughes,736,2018-2019,23,eng ENG,Watford,eng Premier League,32,2418,26.9,31,1,0,2,4,6,2,0,0,0,736,991,74.3,28,70,24,2,102,8975,3068,466,555,84.0,158,227,69.6,27,50,54.0,MF,a0666d3e
419,Morgan Gibbs-White,734,2022-2023,22,eng ENG,2 Teams,eng Premier League,37,3151,35.0,36,1,0,5,8,13,3,2,2,0,734,1173,62.6,67,80,41,5,143,11839,4276,398,524,76.0,212,300,70.7,91,238,38.2,FWMF,32f60ed8
420,Jack Harrison,732,2022-2023,25,eng ENG,Leeds United,eng Premier League,36,2708,30.1,34,2,1,5,7,12,5,0,0,0,732,1150,63.7,53,57,51,21,103,10776,4115,443,544,81.4,189,316,59.8,60,165,36.4,FWMF,aa849a12
421,Kevin De Bruyne,732,2023-2024,32,be BEL,Manchester City,eng Premier League,18,1221,13.6,15,3,3,4,10,14,4,0,0,0,732,971,75.4,59,67,56,12,111,11555,3364,426,481,88.6,223,293,76.1,66,134,49.3,MF,e46012d4
422,Andrew Surman,731,2018-2019,31,eng ENG,Bournemouth,eng Premier League,18,1439,16.0,16,2,12,0,0,0,0,0,0,0,731,842,86.8,10,63,14,1,89,12239,3658,359,393,91.3,289,319,90.6,66,95,69.5,MF,7d41b619
423,Will Hughes,731,2023-2024,28,eng ENG,Crystal Palace,eng Premier League,30,1891,21.0,23,7,1,0,1,1,0,0,0,0,731,878,83.3,21,71,16,2,76,10742,3108,389,436,89.2,281,317,88.6,27,62,43.5,MF,a0666d3e
424,Jacob Ramsey,728,2022-2023,21,eng ENG,Aston Villa,eng Premier League,35,2636,29.3,31,4,0,6,7,13,6,0,0,0,728,889,81.9,42,67,28,4,98,10240,2665,444,500,88.8,217,266,81.6,34,46,73.9,MFFW,1544f145
425,Albert Sambi Lokonga,727,2021-2022,21,be BEL,Arsenal,eng Premier League,19,1134,12.6,12,7,18,0,0,0,0,0,0,0,727,824,88.2,18,68,14,1,84,12262,3171,331,367,90.2,324,352,92.0,54,78,69.2,MF,1b4f1169
426,Felipe Anderson,727,2019-2020,26,br BRA,West Ham,eng Premier League,25,1497,16.6,20,5,4,1,4,5,1,0,0,0,727,945,76.9,25,56,34,4,100,11062,3031,440,527,83.5,207,257,80.5,58,89,65.2,MFFW,9f1893b9
427,Kai Havertz,727,2022-2023,23,de GER,Chelsea,eng Premier League,35,2569,28.5,30,5,1,7,1,8,6,1,1,0,727,894,81.3,38,49,26,2,89,9347,1882,458,540,84.8,195,221,88.2,23,32,71.9,FWMF,fed7cb61
428,André Gomes,726,2019-2020,26,pt POR,Everton,eng Premier League,19,1458,16.2,17,2,0,0,1,1,0,0,0,0,726,867,83.7,11,86,12,2,105,14718,4049,271,306,88.6,319,351,90.9,120,172,69.8,MF,1961b2aa
429,Jack Cork,725,2019-2020,30,eng ENG,Burnley,eng Premier League,30,2613,29.0,30,0,0,0,0,0,0,0,0,0,725,941,77.0,12,55,8,1,67,10877,2633,410,486,84.4,216,279,77.4,61,95,64.2,MF,74e12f1e
430,Ashley Young,723,2023-2024,38,eng ENG,Everton,eng Premier League,31,2280,25.3,27,4,1,0,0,0,0,0,0,0,723,1052,68.7,21,62,22,11,82,12752,5653,339,386,87.8,290,384,75.5,83,219,37.9,DFMF,be927d03
431,Tomáš Souček,722,2023-2024,28,cz CZE,West Ham,eng Premier League,37,2870,31.9,34,3,0,7,2,9,7,0,0,0,722,962,75.1,20,80,8,2,86,11368,3594,364,450,80.9,272,346,78.6,54,86,62.8,MF,6613c819
432,Joelinton,718,2021-2022,24,br BRA,Newcastle Utd,eng Premier League,35,2558,28.4,30,5,1,4,1,5,4,0,0,0,718,944,76.1,29,68,17,2,92,10060,2661,421,515,81.7,216,275,78.5,35,54,64.8,MFFW,c17bfb65
433,Vitinho,715,2023-2024,24,br BRA,Burnley,eng Premier League,32,2314,25.7,26,6,2,0,2,2,0,0,0,0,715,994,71.9,11,56,19,4,66,11588,3536,373,445,83.8,282,398,70.9,45,84,53.6,DFMF,9295dc1c
434,Nicolás Domínguez,714,2023-2024,25,ar ARG,Nott'ham Forest,eng Premier League,26,1495,16.6,19,7,6,2,2,4,2,0,0,0,714,843,84.7,10,61,16,1,91,10894,3223,380,424,89.6,254,298,85.2,45,61,73.8,MFFW,20b3a502
435,Ivan Perišić,713,2022-2023,33,hr CRO,Tottenham,eng Premier League,34,2108,23.4,23,11,3,1,8,9,1,0,0,0,713,1121,63.6,48,29,36,24,61,12565,3575,357,443,80.6,249,389,64.0,91,210,43.3,DFMF,6fe90922
436,Carlos Baleba,713,2023-2024,19,cm CMR,Brighton,eng Premier League,27,1325,14.7,15,12,7,0,0,0,0,0,0,0,713,775,92.0,8,38,3,0,50,10618,2185,402,429,93.7,267,278,96.0,24,30,80.0,MF,a1390d2f
437,Emi Buendía,711,2021-2022,24,ar ARG,Aston Villa,eng Premier League,35,1899,21.1,22,13,2,4,6,10,4,0,0,0,711,902,78.8,48,71,43,3,117,10017,2688,418,482,86.7,199,248,80.2,42,79,53.2,MFFW,66b76d44
438,Víctor Camarasa,710,2018-2019,24,es ESP,Cardiff City,eng Premier League,32,2569,28.5,31,1,1,5,4,9,4,1,1,0,710,1017,69.8,50,63,21,6,77,12178,3357,343,419,81.9,227,300,75.7,100,197,50.8,MF,b2d03887
439,Leander Dendoncker,709,2021-2022,26,be BEL,Wolves,eng Premier League,30,1950,21.7,21,9,7,2,2,4,2,0,0,0,709,822,86.3,11,52,4,0,64,11172,2199,328,377,87.0,301,328,91.8,45,57,78.9,MF,5a7301ae
440,Tomáš Souček,709,2022-2023,27,cz CZE,West Ham,eng Premier League,36,2815,31.3,32,4,1,2,3,5,2,0,0,0,709,994,71.3,15,67,11,6,88,11602,3417,360,476,75.6,255,338,75.4,66,106,62.3,MF,6613c819
441,Miguel Almirón,708,2020-2021,26,py PAR,Newcastle Utd,eng Premier League,34,2429,27.0,28,6,2,4,1,5,4,0,0,0,708,895,79.1,31,64,23,7,90,10715,2430,369,422,87.4,245,289,84.8,51,92,55.4,MFFW,862a1c15
442,Curtis Jones,707,2023-2024,22,eng ENG,Liverpool,eng Premier League,23,1167,13.0,14,9,4,1,1,2,1,0,0,0,707,776,91.1,11,64,14,1,74,10366,2136,405,428,94.6,257,278,92.4,22,30,73.3,MF,4fb9c88f
443,Conor Gallagher,706,2022-2023,22,eng ENG,Chelsea,eng Premier League,35,1621,18.0,18,17,2,3,1,4,3,0,0,0,706,871,81.1,21,67,20,5,105,10444,2483,399,447,89.3,243,290,83.8,32,58,55.2,MF,c2731c10
444,Mario Lemina,704,2018-2019,24,ga GAB,Southampton,eng Premier League,21,1613,17.9,18,3,2,1,1,2,1,0,0,0,704,826,85.2,13,75,13,1,92,12024,3166,339,369,91.9,280,322,87.0,67,98,68.4,MF,2b471f99
445,Andreas Pereira,701,2022-2023,26,br BRA,Fulham,eng Premier League,33,2692,29.9,33,0,0,4,6,10,3,1,1,0,701,1068,65.6,60,86,22,9,121,13078,4235,336,419,80.2,229,315,72.7,116,251,46.2,MF,6639e500
446,Riyad Mahrez,700,2018-2019,27,dz ALG,Manchester City,eng Premier League,27,1343,14.9,14,13,10,7,4,11,7,0,1,1,700,884,79.2,24,28,44,9,73,11000,2183,371,414,89.6,230,288,79.9,58,101,57.4,FWMF,892d5bb1
447,Eberechi Eze,700,2023-2024,25,eng ENG,Crystal Palace,eng Premier League,27,2055,22.8,24,3,0,11,4,15,10,1,1,0,700,909,77.0,54,48,45,7,93,11150,3226,353,405,87.2,253,301,84.1,61,134,45.5,MFFW,ae4fc6a4
448,Erik Pieters,699,2019-2020,30,nl NED,Burnley,eng Premier League,24,1878,20.9,21,3,12,0,4,4,0,0,0,0,699,965,72.4,18,35,18,11,50,10684,4167,392,444,88.3,247,340,72.6,42,121,34.7,DFMF,1ef37668
449,Jorginho,699,2023-2024,31,it ITA,Arsenal,eng Premier League,24,921,10.2,10,14,13,0,2,2,0,0,0,0,699,785,89.0,10,81,25,1,101,11386,3439,360,380,94.7,280,310,90.3,45,59,76.3,MF,45db685d
450,David McGoldrick,697,2020-2021,32,ie IRL,Sheffield Utd,eng Premier League,35,2397,26.6,28,7,2,8,1,9,8,0,0,0,697,947,73.6,17,49,21,4,94,9806,1823,397,485,81.9,210,280,75.0,37,62,59.7,FWMF,dbe56a33
451,Adam Forshaw,695,2021-2022,29,eng ENG,Leeds United,eng Premier League,22,1530,17.0,17,5,4,0,1,1,0,0,0,0,695,842,82.5,13,68,8,0,80,11652,3225,342,389,87.9,253,290,87.2,73,103,70.9,MF,9f1938ab
452,Jeremy Doku,693,2023-2024,21,be BEL,Manchester City,eng Premier League,29,1595,17.7,18,11,2,3,8,11,3,0,0,0,693,852,81.3,45,14,40,7,57,9699,1538,452,507,89.2,198,254,78.0,26,33,78.8,FWMF,fffea3e5
453,Alex Pritchard,691,2018-2019,25,eng ENG,Huddersfield,eng Premier League,30,2081,23.1,26,4,7,2,0,2,2,0,0,0,691,981,70.4,32,66,20,6,91,10133,2557,406,481,84.4,200,280,71.4,48,109,44.0,MFFW,ff9fcd4d
454,Phil Foden,689,2020-2021,20,eng ENG,Manchester City,eng Premier League,28,1616,18.0,17,11,10,9,5,14,9,0,0,0,689,845,81.5,30,36,21,2,69,9142,1889,447,488,91.6,175,212,82.5,24,62,38.7,FWMF,ed1e53f3
455,Florent Hadergjonaj,688,2018-2019,24,xk KVX,Huddersfield,eng Premier League,24,1842,20.5,19,5,9,0,0,0,0,0,0,0,688,973,70.7,23,43,24,18,65,11043,4256,371,429,86.5,217,316,68.7,69,152,45.4,DFMF,9aa186b2
456,Raphinha,687,2020-2021,23,br BRA,Leeds United,eng Premier League,30,2360,26.2,26,4,0,6,9,15,6,0,0,0,687,1064,64.6,64,79,40,7,97,11676,4332,347,413,84.0,218,336,64.9,88,204,43.1,MFFW,3423f250
457,Tom Davies,687,2019-2020,21,eng ENG,Everton,eng Premier League,30,2027,22.5,23,7,6,1,0,1,1,0,0,0,687,893,76.9,6,85,16,2,113,11896,4015,309,388,79.6,292,341,85.6,68,110,61.8,MF,9228b07c
458,Pablo Sarabia,684,2023-2024,31,es ESP,Wolves,eng Premier League,30,1745,19.4,20,10,7,4,7,11,2,2,2,0,684,976,70.1,51,59,40,6,109,11034,3731,377,439,85.9,195,263,74.1,73,168,43.5,MFFW,9744ff80
459,Abdoulaye Doucouré,683,2023-2024,30,ml MLI,Everton,eng Premier League,32,2629,29.2,32,0,0,7,1,8,7,0,0,0,683,893,76.5,34,43,18,1,97,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,FWMF,02b29014
460,Fabian Delph,682,2019-2020,29,eng ENG,Everton,eng Premier League,16,1190,13.2,13,3,1,0,0,0,0,0,0,0,682,793,86.0,7,61,14,5,94,12274,3378,300,322,93.2,274,301,91.0,83,126,65.9,MF,111c3236
461,Emile Smith Rowe,682,2021-2022,21,eng ENG,Arsenal,eng Premier League,33,1921,21.3,21,12,2,10,2,12,10,0,0,0,682,823,82.9,30,41,20,1,85,9733,1935,401,441,90.9,230,268,85.8,25,58,43.1,MFFW,17695062
462,Rodrigo,682,2021-2022,30,es ESP,Leeds United,eng Premier League,31,2265,25.2,27,4,2,6,1,7,5,1,1,0,682,914,74.6,38,54,31,6,105,10330,2668,371,453,81.9,188,243,77.4,63,96,65.6,MFFW,1fb1c435
463,James Milner,682,2019-2020,33,eng ENG,Liverpool,eng Premier League,22,937,10.4,9,13,5,2,2,4,0,2,2,0,682,804,84.8,10,65,8,1,71,11931,3146,317,341,93.0,282,318,88.7,73,109,67.0,MFDF,2f90f6b8
464,Miguel Almirón,681,2019-2020,25,py PAR,Newcastle Utd,eng Premier League,36,3021,33.6,35,1,1,4,2,6,4,0,0,0,681,884,77.0,31,40,21,5,77,9262,2156,396,457,86.7,192,248,77.4,37,65,56.9,MFFW,862a1c15
465,Jordan Ayew,681,2023-2024,31,gh GHA,Crystal Palace,eng Premier League,35,2543,28.3,30,5,1,4,7,11,4,0,0,0,681,920,74.0,25,43,26,10,63,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,FWMF,da052c14
466,Son Heung-min,680,2022-2023,30,kr KOR,Tottenham,eng Premier League,36,2888,32.1,33,3,0,10,6,16,10,0,0,0,680,909,74.8,61,32,32,6,79,9315,2506,410,477,86.0,191,249,76.7,36,90,40.0,MFFW,92e7e919
467,Moussa Sissoko,679,2020-2021,30,fr FRA,Tottenham,eng Premier League,25,1585,17.6,15,10,10,0,0,0,0,0,0,0,679,811,83.7,4,42,6,1,57,10344,2252,336,383,87.7,247,282,87.6,44,69,63.8,MF,2acd49b9
468,Frederic Guilbert,679,2019-2020,24,fr FRA,Aston Villa,eng Premier League,25,2041,22.7,22,3,6,0,2,2,0,0,0,0,679,1046,64.9,13,66,21,14,81,11643,4660,355,445,79.8,242,365,66.3,68,169,40.2,DFMF,5d8d7454
469,Will Hughes,679,2019-2020,24,eng ENG,Watford,eng Premier League,30,2252,25.0,27,3,3,1,1,2,1,0,0,0,679,916,74.1,25,69,23,2,87,9200,3365,414,479,86.4,182,246,74.0,34,88,38.6,MF,a0666d3e
470,Pablo Fornals,678,2019-2020,23,es ESP,West Ham,eng Premier League,36,2172,24.1,24,12,1,2,5,7,2,0,0,0,678,909,74.6,19,61,23,3,91,9935,2578,400,455,87.9,189,255,74.1,53,101,52.5,MFFW,82927de4
471,Mohammed Kudus,677,2023-2024,22,gh GHA,West Ham,eng Premier League,33,2484,27.6,27,6,0,8,6,14,8,0,0,0,677,875,77.4,28,32,29,16,80,11263,1764,357,405,88.1,231,281,82.2,70,108,64.8,FWMF,b62878a5
472,Solly March,676,2020-2021,26,eng ENG,Brighton,eng Premier League,21,1672,18.6,19,2,0,2,1,3,2,0,0,0,676,979,69.1,27,41,34,9,79,11623,3652,326,376,86.7,258,358,72.1,72,165,43.6,DFMF,bb5fbd2b
473,Jordan Ayew,676,2022-2023,30,gh GHA,Crystal Palace,eng Premier League,38,2714,30.2,31,7,0,4,3,7,4,0,0,0,676,875,77.3,31,34,19,6,63,8710,1706,434,495,87.7,192,246,78.0,15,40,37.5,FWMF,da052c14
474,Manuel Lanzini,674,2019-2020,26,ar ARG,West Ham,eng Premier League,24,1379,15.3,14,10,8,0,2,2,0,0,0,0,674,806,83.6,31,79,12,2,77,10014,2796,385,431,89.3,201,231,87.0,50,82,61.0,MFFW,26f6dca8
475,Rodrigo Bentancur,674,2023-2024,26,uy URU,Tottenham,eng Premier League,23,1005,11.2,13,10,0,1,1,2,1,0,0,0,674,800,84.3,8,69,11,1,72,10011,2610,384,426,90.1,244,282,86.5,29,41,70.7,MF,3b8674e6
476,Fred,673,2018-2019,25,br BRA,Manchester Utd,eng Premier League,17,1041,11.6,13,4,15,1,1,2,1,0,0,0,673,791,85.1,12,76,4,2,73,12069,3141,289,326,88.7,271,297,91.2,82,109,75.2,MF,b853e0ad
477,Albert Sambi Lokonga,669,2023-2024,23,be BEL,Luton Town,eng Premier League,17,1303,14.5,16,1,0,1,3,4,1,0,0,0,669,766,87.3,9,68,6,1,72,11099,3318,319,348,91.7,253,285,88.8,55,76,72.4,MF,1b4f1169
478,Fernando Marçal,669,2021-2022,32,br BRA,Wolves,eng Premier League,18,1449,16.1,17,1,14,0,0,0,0,0,0,0,669,887,75.4,10,35,9,4,50,10434,3383,356,394,90.4,264,347,76.1,35,87,40.2,MFDF,9ae9eaea
479,Yves Bissouma,666,2022-2023,25,ml MLI,Tottenham,eng Premier League,23,1010,11.2,10,13,2,0,0,0,0,0,0,0,666,733,90.9,8,55,5,1,62,10412,2333,340,357,95.2,271,289,93.8,38,48,79.2,MF,6c203af0
480,Jeffrey Schlupp,665,2022-2023,29,gh GHA,Crystal Palace,eng Premier League,34,2531,28.1,30,4,0,3,1,4,3,0,0,0,665,900,73.9,18,59,11,0,98,10562,2798,338,418,80.9,254,312,81.4,52,104,50.0,MFFW,3312f911
481,James Justin,665,2019-2020,21,eng ENG,Leicester City,eng Premier League,13,1012,11.2,11,2,25,0,1,1,0,0,0,0,665,820,81.1,12,47,11,6,56,9996,3251,372,405,91.9,243,288,84.4,39,78,50.0,DFMF,fb614c44
482,Jesse Lingard,664,2018-2019,25,eng ENG,Manchester Utd,eng Premier League,27,1663,18.5,19,8,2,4,2,6,3,1,1,0,664,795,83.5,17,53,14,2,55,8567,1532,379,423,89.6,199,233,85.4,20,36,55.6,FWMF,810e3c74
483,Remo Freuler,664,2022-2023,30,ch SUI,Nott'ham Forest,eng Premier League,28,2161,24.0,24,4,8,0,0,0,0,0,0,0,664,836,79.4,12,47,6,3,54,9828,3216,371,429,86.5,238,285,83.5,30,66,45.5,MF,98d2c2c4
484,Robin Koch,664,2020-2021,24,de GER,Leeds United,eng Premier League,17,1132,12.6,13,4,2,0,0,0,0,0,0,0,664,773,85.9,4,35,3,0,49,13042,4385,191,218,87.6,398,428,93.0,64,104,61.5,DFMF,ea6bc03a
485,Ross Barkley,663,2020-2021,26,eng ENG,2 Teams,eng Premier League,26,1573,17.5,18,8,5,3,1,4,3,0,0,0,663,822,80.7,40,47,26,0,90,10800,2898,341,397,85.9,221,263,84.0,70,102,68.6,MF,3a24769f
486,Marvelous Nakamba,663,2019-2020,25,zw ZIM,Aston Villa,eng Premier League,29,1836,20.4,19,10,5,0,0,0,0,0,0,0,663,793,83.6,12,48,4,0,57,10776,2708,332,376,88.3,274,308,89.0,43,69,62.3,MF,de5b5570
487,Pascal Groß,661,2018-2019,27,de GER,Brighton,eng Premier League,25,1864,20.7,24,1,0,3,3,6,2,1,2,1,661,965,68.5,54,87,28,15,110,12127,3940,323,379,85.2,206,292,70.5,105,225,46.7,MFFW,8aec0537
488,Oliver Skipp,660,2022-2023,21,eng ENG,Tottenham,eng Premier League,23,1491,16.6,18,5,10,1,0,1,1,0,0,0,660,772,85.5,10,52,7,1,56,10674,2638,326,354,92.1,270,300,90.0,42,63,66.7,MF,6250083a
489,Ben Osborn,660,2020-2021,25,eng ENG,Sheffield Utd,eng Premier League,24,1604,17.8,17,7,10,1,0,1,1,0,0,0,660,859,76.8,17,53,27,11,77,8905,3102,420,466,90.1,169,221,76.5,33,85,38.8,MFDF,79bc4c45
490,Ryan Yates,659,2023-2024,25,eng ENG,Nott'ham Forest,eng Premier League,35,1992,22.1,21,14,2,1,1,2,1,0,0,0,659,829,79.5,7,59,10,0,73,10612,2717,315,375,84.0,280,326,85.9,37,67,55.2,MF,c1fe2a48
491,João Pedro,659,2023-2024,21,br BRA,Brighton,eng Premier League,31,2045,22.7,19,12,0,9,3,12,5,4,5,1,659,818,80.6,37,43,44,4,92,8706,1876,425,483,88.0,178,217,82.0,24,43,55.8,FWMF,e8832875
492,Ryan Fraser,658,2019-2020,25,sct SCO,Bournemouth,eng Premier League,28,2067,23.0,21,7,0,1,4,5,1,0,0,0,658,964,68.3,44,62,39,8,100,9972,3561,373,438,85.2,210,296,70.9,55,157,35.0,MFFW,d56543a0
493,Matheus Cunha,658,2023-2024,24,br BRA,Wolves,eng Premier League,32,2440,27.1,29,3,0,12,7,19,11,1,1,0,658,831,79.2,28,56,31,1,87,8887,2308,411,476,86.3,182,229,79.5,32,57,56.1,FWMF,dc62b55d
494,Kai Havertz,658,2020-2021,21,de GER,Chelsea,eng Premier League,27,1520,16.9,18,9,4,4,3,7,4,0,0,0,658,788,83.5,18,38,20,1,74,8252,1336,412,449,91.8,167,190,87.9,23,31,74.2,MFFW,fed7cb61
495,Isaac Hayden,657,2020-2021,25,jm JAM,Newcastle Utd,eng Premier League,24,1942,21.6,22,2,3,0,0,0,0,0,0,0,657,834,78.8,7,44,4,2,47,11000,2618,288,334,86.2,301,348,86.5,42,79,53.2,MFDF,c951a6df
496,Cheikhou Kouyaté,656,2021-2022,31,sn SEN,Crystal Palace,eng Premier League,27,1974,21.9,23,4,6,0,1,1,0,0,0,0,656,804,81.6,5,44,3,1,54,10088,2834,338,390,86.7,253,308,82.1,36,58,62.1,MF,8d3c902d
497,Jack Harrison,656,2021-2022,24,eng ENG,Leeds United,eng Premier League,35,2639,29.3,32,3,2,8,1,9,8,0,0,0,656,1045,62.8,42,49,35,8,89,9472,3280,407,510,79.8,187,300,62.3,36,117,30.8,FWMF,aa849a12
498,Dwight McNeil,656,2022-2023,22,eng ENG,Everton,eng Premier League,36,2498,27.8,28,8,2,7,3,10,7,0,0,0,656,987,66.5,49,45,27,14,69,11288,3797,335,391,85.7,208,278,74.8,87,212,41.0,FWMF,fc15fb84
