,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
801,Jáder Durán,7,2022-2023,18,co COL,Aston Villa,eng Premier League,12,136,1.5,0,12,5,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,19.8,0,FWMF,414184f7
802,Keane Lewis-Potter,7,2022-2023,21,eng ENG,Brentford,eng Premier League,10,321,3.6,3,7,9,0,1,1,0,0,0,0,7,0.00,0.00,2,28.6,14.1,0,FWMF,41f08ac8
803,Divock Origi,7,2020-2021,25,be BEL,Liverpool,eng Premier League,9,186,2.1,2,7,17,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,18.5,0,FW,43a166b4
804,Mason Greenwood,7,2018-2019,16,eng ENG,Manchester Utd,eng Premier League,3,117,1.3,1,2,0,0,0,0,0,0,0,0,7,0.00,0.00,4,57.1,13.4,0,FW,58eee997
805,Adama Diakhaby,7,2018-2019,22,fr FRA,Huddersfield,eng Premier League,12,552,6.1,6,6,6,0,0,0,0,0,0,0,7,0.00,0.00,3,42.9,19.1,0,FWMF,65585e3a
806,Ricardo Pereira,7,2020-2021,26,pt POR,Leicester City,eng Premier League,15,959,10.7,10,5,6,0,1,1,0,0,0,0,7,0.00,0.00,4,57.1,20.1,0,DFFW,75a72a99
807,Pablo Fornals,7,2023-2024,27,es ESP,West Ham,eng Premier League,15,426,4.7,4,11,6,0,0,0,0,0,0,0,7,0.00,0.00,3,42.9,20.1,0,MFFW,82927de4
808,Alexis Mac Allister,7,2019-2020,20,ar ARG,Brighton,eng Premier League,9,352,3.9,4,5,1,0,0,0,0,0,0,0,7,0.00,0.00,1,14.3,22.5,1,MFFW,83d074ff
809,Andriy Yarmolenko,7,2020-2021,30,ua UKR,West Ham,eng Premier League,15,375,4.2,1,14,10,0,1,1,0,0,0,0,7,0.00,0.00,2,28.6,20.3,0,FWMF,849c826a
810,Manor Solomon,7,2023-2024,24,il ISR,Tottenham,eng Premier League,5,199,2.2,2,3,2,0,2,2,0,0,0,0,7,0.00,0.00,1,14.3,16.8,0,FW,886f9aac
811,Youssef Chermiti,7,2023-2024,19,pt POR,Everton,eng Premier League,18,208,2.3,1,17,18,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,14.6,0,FW,890f108d
812,Carlos Vinícius,7,2020-2021,25,br BRA,Tottenham,eng Premier League,9,308,3.4,3,6,16,1,0,1,1,0,0,0,7,0.14,0.25,4,57.1,12.1,0,FW,8b529245
813,Nikola Vlašić,7,2021-2022,23,hr CRO,West Ham,eng Premier League,19,560,6.2,6,13,13,1,0,1,1,0,0,0,7,0.14,0.33,3,42.9,18.5,0,FWMF,aa8e289e
814,Michael Obafemi,7,2018-2019,18,ie IRL,Southampton,eng Premier League,6,137,1.5,1,5,0,1,1,2,1,0,0,0,7,0.14,0.33,3,42.9,12.3,0,FW,caa1a7f0
815,Andi Zeqiri,7,2020-2021,21,ch SUI,Brighton,eng Premier League,9,171,1.9,0,9,17,0,0,0,0,0,0,0,7,0.00,0.00,2,28.6,13.6,0,FWDF,d01231f0
816,Fábio Silva,7,2023-2024,21,pt POR,Wolves,eng Premier League,8,264,2.9,3,5,9,0,0,0,0,0,0,0,7,0.00,0.00,3,42.9,13.8,0,FW,e7aa9d7c
817,Billy Sharp,7,2020-2021,34,eng ENG,Sheffield Utd,eng Premier League,16,735,8.2,7,9,9,3,0,3,1,2,2,0,7,0.14,0.25,4,57.1,16.5,0,FW,e8c9f4e9
818,Takumi Minamino,7,2020-2021,25,jp JPN,Liverpool,eng Premier League,9,293,3.3,2,7,11,1,0,1,1,0,0,0,7,0.14,0.33,3,42.9,17.0,0,MFFW,f833a830
819,Takumi Minamino,7,2021-2022,26,jp JPN,Liverpool,eng Premier League,11,186,2.1,1,10,15,3,0,3,3,0,0,0,7,0.43,0.75,4,57.1,15.2,0,FWMF,f833a830
820,Floyd Ayité,7,2018-2019,29,tg TOG,Fulham,eng Premier League,16,476,5.3,3,13,11,1,0,1,1,0,0,0,7,0.14,1.00,1,14.3,21.1,0,FWMF,fd5888a0
821,Anwar El Ghazi,7,2021-2022,26,nl NED,2 Teams,eng Premier League,11,399,4.4,4,7,17,1,1,2,0,1,1,0,7,0.00,0.00,2,28.6,22.3,0,FWMF,ffa90327
822,Kieffer Moore,6,2023-2024,30,wls WAL,Bournemouth,eng Premier League,8,108,1.2,0,8,8,1,0,1,1,0,0,0,6,0.17,0.50,2,33.3,12.5,0,FWMF,01ce9e70
823,Matěj Vydra,6,2018-2019,26,cz CZE,Burnley,eng Premier League,13,318,3.5,3,10,21,1,1,2,1,0,0,0,6,0.17,0.33,3,50.0,10.5,0,FW,0d4ceb32
824,Callum Hudson-Odoi,6,2018-2019,17,eng ENG,Chelsea,eng Premier League,10,393,4.4,4,6,3,0,1,1,0,0,0,0,6,0.00,0.00,3,50.0,12.6,0,FW,15f3ec41
825,Neeskens Kebano,6,2020-2021,28,cd COD,Fulham,eng Premier League,5,119,1.3,1,4,8,0,0,0,0,0,0,0,6,0.00,,0,0.0,20.0,1,FWMF,18b999f4
826,Theo Walcott,6,2021-2022,32,eng ENG,Southampton,eng Premier League,9,379,4.2,5,4,14,0,0,0,0,0,0,0,6,0.00,,0,0.0,16.4,0,MFFW,1ecb65be
827,Adam Idah,6,2019-2020,18,ie IRL,Norwich City,eng Premier League,12,228,2.5,1,11,5,0,0,0,0,0,0,0,6,0.00,0.00,2,33.3,17.5,0,FWMF,291e3ec3
828,Anthony Gordon,6,2019-2020,18,eng ENG,Everton,eng Premier League,11,440,4.9,4,7,5,0,1,1,0,0,0,0,6,0.00,0.00,1,16.7,20.8,0,MFFW,2bd83368
829,Yoshinori Mutō,6,2018-2019,26,jp JPN,Newcastle Utd,eng Premier League,17,524,5.8,5,12,10,1,0,1,1,0,0,0,6,0.17,0.33,3,50.0,10.8,0,FWMF,5343eb4e
830,Hamed Junior Traorè,6,2022-2023,22,ci CIV,Bournemouth,eng Premier League,7,427,4.7,5,2,0,0,0,0,0,0,0,0,6,0.00,,0,0.0,17.1,1,FWMF,570bb4b9
831,Fabio Vieira,6,2023-2024,23,pt POR,Arsenal,eng Premier League,11,297,3.3,2,9,13,1,2,3,0,1,1,0,6,0.00,0.00,1,16.7,18.0,0,MFFW,6412cc03
832,Matt Ritchie,6,2023-2024,33,sct SCO,Newcastle Utd,eng Premier League,13,128,1.4,0,13,18,1,0,1,1,0,0,0,6,0.17,0.25,4,66.7,12.0,0,FWMF,71ef519e
833,Anthony Martial,6,2023-2024,27,fr FRA,Manchester Utd,eng Premier League,13,448,5.0,5,8,3,1,0,1,1,0,0,0,6,0.17,0.25,4,66.7,12.9,0,FW,8b788c01
834,Ben Johnson,6,2023-2024,23,eng ENG,West Ham,eng Premier League,14,544,6.0,4,10,11,0,0,0,0,0,0,0,6,0.00,0.00,2,33.3,24.1,0,DFFW,9319781b
835,Armando Broja,6,2022-2023,20,al ALB,Chelsea,eng Premier League,12,294,3.3,2,10,1,1,0,1,1,0,0,0,6,0.17,0.20,5,83.3,11.0,0,FW,97220da2
836,Christos Tzolis,6,2021-2022,19,gr GRE,Norwich City,eng Premier League,14,336,3.7,3,11,16,0,0,0,0,0,0,0,6,0.00,0.00,2,33.3,18.5,0,FWMF,9f333379
837,Jota,6,2019-2020,28,es ESP,Aston Villa,eng Premier League,10,335,3.7,4,6,11,0,1,1,0,0,0,0,6,0.00,0.00,1,16.7,18.9,0,FWMF,9f351459
838,Bernard,6,2020-2021,27,br BRA,Everton,eng Premier League,12,455,5.1,3,9,21,1,0,1,1,0,0,0,6,0.17,0.50,2,33.3,22.5,0,MFFW,ab4b3e35
839,Ryan Fraser,6,2022-2023,28,sct SCO,Newcastle Utd,eng Premier League,8,313,3.5,3,5,8,0,0,0,0,0,0,0,6,0.00,0.00,1,16.7,16.6,0,FW,d56543a0
840,David Brooks,6,2019-2020,22,wls WAL,Bournemouth,eng Premier League,9,506,5.6,8,1,0,1,0,1,1,0,0,0,6,0.17,0.50,2,33.3,23.9,1,MFFW,dc4cae05
841,Aaron Ramsey,6,2023-2024,20,eng ENG,Burnley,eng Premier League,14,527,5.9,5,9,3,0,0,0,0,0,0,0,6,0.00,0.00,2,33.3,16.5,0,MFFW,e1618c22
842,Arnaut Danjuma,6,2022-2023,25,nl NED,Tottenham,eng Premier League,9,169,1.9,1,8,8,1,0,1,1,0,0,0,6,0.17,0.33,3,50.0,14.2,0,FWMF,f08490a6
843,Tariq Lamptey,6,2023-2024,22,gh GHA,Brighton,eng Premier League,19,914,10.2,10,9,0,0,3,3,0,0,0,0,6,0.00,,0,0.0,18.2,0,DFFW,f4e433d4
844,Rajiv van La Parra,5,2018-2019,27,nl NED,Huddersfield,eng Premier League,5,405,4.5,5,0,5,0,0,0,0,0,0,0,5,0.00,,0,0.0,22.8,0,FWMF,1931bde9
845,Connor Wickham,5,2018-2019,25,eng ENG,Crystal Palace,eng Premier League,6,67,0.7,0,6,4,0,1,1,0,0,0,0,5,0.00,0.00,1,20.0,12.3,0,FWMF,41cc19c2
846,Jesurun Rak Sakyi,5,2023-2024,20,eng ENG,Crystal Palace,eng Premier League,6,136,1.5,0,6,7,0,0,0,0,0,0,0,5,0.00,0.00,1,20.0,15.5,0,MFFW,45685411
847,Shinji Okazaki,5,2018-2019,32,jp JPN,Leicester City,eng Premier League,21,288,3.2,1,20,8,0,1,1,0,0,0,0,5,0.00,0.00,4,80.0,16.0,0,MFFW,68796d61
848,Peter Crouch,5,2018-2019,37,eng ENG,Burnley,eng Premier League,6,92,1.0,0,6,3,0,0,0,0,0,0,0,5,0.00,0.00,1,20.0,10.6,0,FW,73d9bdc7
849,Gio Reyna,5,2023-2024,20,us USA,Nott'ham Forest,eng Premier League,9,235,2.6,2,7,4,0,1,1,0,0,0,0,5,0.00,0.00,2,40.0,21.3,0,FWMF,7fa4e703
850,Marcus Forss,5,2021-2022,22,fi FIN,Brentford,eng Premier League,7,209,2.3,1,6,16,0,1,1,0,0,0,0,5,0.00,,0,0.0,15.8,0,FWMF,82c215a0
851,Dennis Praet,5,2022-2023,28,be BEL,Leicester City,eng Premier League,22,649,7.2,6,16,12,1,0,1,1,0,0,0,5,0.20,0.50,2,40.0,13.6,0,MFFW,86695068
852,Christian Atsu,5,2019-2020,27,gh GHA,Newcastle Utd,eng Premier League,19,749,8.3,6,13,9,0,3,3,0,0,0,0,5,0.00,0.00,1,20.0,19.1,0,MFFW,8816329f
853,Anthony Martial,5,2021-2022,25,fr FRA,Manchester Utd,eng Premier League,8,212,2.4,2,6,5,1,0,1,1,0,0,0,5,0.20,0.50,2,40.0,13.0,0,FW,8b788c01
854,Mason Mount,5,2023-2024,24,eng ENG,Manchester Utd,eng Premier League,14,516,5.7,5,9,0,1,0,1,1,0,0,0,5,0.20,1.00,1,20.0,13.6,0,MFFW,9674002f
855,Adam Lallana,5,2018-2019,30,eng ENG,Liverpool,eng Premier League,13,468,5.2,5,8,11,0,0,0,0,0,0,0,5,0.00,0.00,1,20.0,17.2,0,MFFW,99813635
856,Adam Lallana,5,2019-2020,31,eng ENG,Liverpool,eng Premier League,15,382,4.2,3,12,11,1,1,2,1,0,0,0,5,0.20,1.00,1,20.0,16.3,0,MFFW,99813635
857,Mike Trésor,5,2023-2024,24,be BEL,Burnley,eng Premier League,16,420,4.7,3,13,9,0,0,0,0,0,0,0,5,0.00,,0,0.0,19.7,1,FWMF,b2a81fc6
858,Carney Chukwuemeka,5,2022-2023,18,eng ENG,Chelsea,eng Premier League,14,354,3.9,2,12,7,0,0,0,0,0,0,0,5,0.00,0.00,1,20.0,17.2,0,MFFW,b2f9c73e
859,Ian Maatsen,5,2023-2024,21,nl NED,Chelsea,eng Premier League,12,209,2.3,1,11,8,0,0,0,0,0,0,0,5,0.00,,0,0.0,17.1,0,FWMF,cab9634e
860,David Brooks,5,2022-2023,25,wls WAL,Bournemouth,eng Premier League,6,173,1.9,2,4,5,0,0,0,0,0,0,0,5,0.00,0.00,1,20.0,20.6,1,FWMF,dc4cae05
861,Chiquinho,5,2021-2022,21,pt POR,Wolves,eng Premier League,8,208,2.3,1,7,7,0,3,3,0,0,0,0,5,0.00,0.00,2,40.0,9.0,0,DFFW,dc6c2f02
862,Todd Cantwell,5,2021-2022,23,eng ENG,Norwich City,eng Premier League,8,441,4.9,5,3,4,0,0,0,0,0,0,0,5,0.00,,0,0.0,28.5,0,FWMF,f63d8a4b
863,Daniel Jebbison,4,2020-2021,16,ca CAN,Sheffield Utd,eng Premier League,4,284,3.2,3,1,0,1,0,1,1,0,0,0,4,0.25,0.50,2,50.0,11.7,0,FW,03edb878
864,Sasa Kalajdzic,4,2023-2024,26,at AUT,Wolves,eng Premier League,11,166,1.8,1,10,9,2,0,2,2,0,0,0,4,0.50,1.00,2,50.0,11.2,0,FW,15f24fe7
865,Emile Smith Rowe,4,2022-2023,22,eng ENG,Arsenal,eng Premier League,12,172,1.9,0,12,11,0,2,2,0,0,0,0,4,0.00,0.00,1,25.0,15.8,0,MFFW,17695062
866,Mateusz Klich,4,2022-2023,32,pl POL,Leeds United,eng Premier League,14,280,3.1,0,14,2,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,21.7,0,MFFW,282679b4
867,Juan Mata,4,2020-2021,32,es ESP,Manchester Utd,eng Premier League,9,509,5.7,6,3,17,1,2,3,0,1,1,0,4,0.00,0.00,3,75.0,21.5,0,FWMF,29733c72
868,Lukas Rupp,4,2019-2020,28,de GER,Norwich City,eng Premier League,12,695,7.7,8,4,4,0,0,0,0,0,0,0,4,0.00,0.00,2,50.0,17.7,0,FWMF,3faa1780
869,Aboubakar Kamara,4,2020-2021,25,mr MTN,Fulham,eng Premier League,11,315,3.5,2,9,6,0,0,0,0,0,0,0,4,0.00,0.00,2,50.0,20.4,0,FWMF,4047c976
870,Jean-Philippe Mateta,4,2020-2021,23,fr FRA,Crystal Palace,eng Premier League,7,221,2.5,2,5,11,1,0,1,1,0,0,0,4,0.25,0.50,2,50.0,10.6,0,FW,50e6dc35
871,Arthur Masuaku,4,2021-2022,27,cd COD,West Ham,eng Premier League,13,650,7.2,6,7,16,1,1,2,1,0,0,0,4,0.25,1.00,1,25.0,26.5,0,DFFW,57df7a11
872,Xherdan Shaqiri,4,2019-2020,27,ch SUI,Liverpool,eng Premier League,7,185,2.1,2,5,10,1,0,1,1,0,0,0,4,0.25,1.00,1,25.0,20.4,0,FWMF,6421ec64
873,Owen Otasowie,4,2020-2021,19,us USA,Wolves,eng Premier League,6,187,2.1,2,4,17,0,1,1,0,0,0,0,4,0.00,,0,0.0,13.6,0,MFFW,6956ff08
874,Bryan Gil,4,2023-2024,22,es ESP,Tottenham,eng Premier League,11,209,2.3,2,9,13,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,13.9,0,FWMF,7b5ab7f2
875,Robert Snodgrass,4,2020-2021,32,sct SCO,2 Teams,eng Premier League,11,531,5.9,6,5,10,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,18.3,1,MFFW,9f4647e9
876,Facundo Pellistri,4,2023-2024,21,uy URU,Manchester Utd,eng Premier League,9,172,1.9,1,8,11,0,1,1,0,0,0,0,4,0.00,0.00,2,50.0,11.5,0,FWMF,ac7e7b1c
877,Carney Chukwuemeka,4,2021-2022,17,eng ENG,Aston Villa,eng Premier League,12,301,3.3,2,10,19,0,1,1,0,0,0,0,4,0.00,0.00,1,25.0,17.1,0,MFFW,b2f9c73e
878,Salomón Rondón,4,2022-2023,32,ve VEN,Everton,eng Premier League,7,109,1.2,1,6,3,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,19.3,0,FW,b318a643
879,Marc Albrighton,4,2021-2022,31,eng ENG,Leicester City,eng Premier League,17,1132,12.6,11,6,17,1,2,3,1,0,0,0,4,0.25,1.00,1,25.0,16.3,0,FWDF,b827d5b3
880,Samuel Kalu,4,2021-2022,23,ng NGA,Watford,eng Premier League,4,222,2.5,2,2,7,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,22.3,1,FW,b8d22478
881,Valentín Barco,4,2023-2024,19,ar ARG,Brighton,eng Premier League,6,307,3.4,3,3,4,0,0,0,0,0,0,0,4,0.00,0.00,2,50.0,24.2,0,DFFW,b9f282ec
882,Maxwel Cornet,4,2023-2024,26,ci CIV,West Ham,eng Premier League,7,112,1.2,1,6,21,1,0,1,1,0,0,0,4,0.25,1.00,1,25.0,12.5,0,MFFW,beb391dd
883,Ryan Fredericks,4,2020-2021,27,eng ENG,West Ham,eng Premier League,14,569,6.3,6,8,15,1,1,2,1,0,0,0,4,0.25,0.50,2,50.0,14.8,0,DFFW,c067631c
884,Reiss Nelson,4,2023-2024,23,eng ENG,Arsenal,eng Premier League,15,268,3.0,1,14,15,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,19.7,0,FW,c5bdb6e3
885,Georginio Rutter,4,2022-2023,20,fr FRA,Leeds United,eng Premier League,11,273,3.0,1,10,9,0,1,1,0,0,0,0,4,0.00,,0,0.0,14.0,0,FWMF,c64c01fc
886,Danny Welbeck,4,2018-2019,27,eng ENG,Arsenal,eng Premier League,8,153,1.7,1,7,2,1,1,2,1,0,0,0,4,0.25,0.50,2,50.0,10.5,0,FWMF,ce5143da
887,Benson Manuel,4,2023-2024,26,ao ANG,Burnley,eng Premier League,8,116,1.3,1,7,13,0,0,0,0,0,0,0,4,0.00,0.00,2,50.0,24.0,0,MFFW,d7f99582
888,Lys Mousset,4,2020-2021,24,fr FRA,Sheffield Utd,eng Premier League,11,296,3.3,2,9,8,0,0,0,0,0,0,0,4,0.00,0.00,2,50.0,16.8,0,FWMF,d9cfca3d
889,Cole Palmer,4,2021-2022,19,eng ENG,Manchester City,eng Premier League,4,123,1.4,1,3,20,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,21.6,0,FWMF,dc7f8a28
890,Alexander Sørloth,4,2018-2019,22,no NOR,Crystal Palace,eng Premier League,12,185,2.1,0,12,5,0,0,0,0,0,0,0,4,0.00,0.00,1,25.0,11.9,0,FW,e92cd3f7
891,Ruben Loftus-Cheek,4,2019-2020,23,eng ENG,Chelsea,eng Premier League,7,208,2.3,2,5,4,0,1,1,0,0,0,0,4,0.00,,0,0.0,9.6,0,MFFW,e97fd090
892,Oscar Bobb,4,2023-2024,20,no NOR,Manchester City,eng Premier League,14,302,3.4,2,12,21,1,1,2,1,0,0,0,4,0.25,1.00,1,25.0,11.1,0,FWMF,eed2427e
893,Sam Greenwood,4,2021-2022,19,eng ENG,Leeds United,eng Premier League,7,237,2.6,1,6,14,0,2,2,0,0,0,0,4,0.00,,0,0.0,20.3,1,MFFW,f3354c07
894,Nathan Fraser,3,2023-2024,18,ie IRL,Wolves,eng Premier League,7,186,2.1,1,6,13,0,0,0,0,0,0,0,3,0.00,0.00,2,66.7,16.6,0,FW,00b77ecf
895,Anass Zaroury,3,2023-2024,22,ma MAR,Burnley,eng Premier League,6,152,1.7,1,5,7,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,20.9,0,FWMF,07d65234
896,Philippe Coutinho,3,2023-2024,31,br BRA,Aston Villa,eng Premier League,2,25,0.3,0,2,0,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,24.9,0,MFFW,0ef89a37
897,Ken Sema,3,2021-2022,27,se SWE,Watford,eng Premier League,18,852,9.5,7,11,13,0,0,0,0,0,0,0,3,0.00,0.00,1,33.3,20.5,1,MFFW,1770bd68
