Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position,Value,Preferred Foot,Height,Weight
Adam Lallana,2022-2023,34.0,England,Brighton,16,722,12,2,1,MF,2600000.0,Right,178.0,73.0
Adama Traoré,2022-2023,26.0,Spain,Wolves,34,1496,12,2,1,FW,20500000.0,Right,178.0,86.0
Alejandro Garnacho,2022-2023,18.0,Argentina,Manchester Utd,19,569,5,3,2,FW,1500000.0,Right,180.0,70.0
Alex Oxlade-Chamberlain,2022-2023,28.0,England,Liverpool,9,335,4,1,0,FW,10500000.0,Right,175.0,70.0
Allan Saint-Maximin,2022-2023,25.0,France,Newcastle Utd,25,1120,12,1,5,FW,32500000.0,Right,173.0,67.0
Bernardo Silva,2022-2023,27.0,Portugal,Manchester City,34,2205,24,4,5,MF,97500000.0,Left,173.0,64.0
Bruno Fernandes,2022-2023,27.0,Portugal,Manchester Utd,37,3316,37,8,8,MF,78500000.0,Right,179.0,69.0
Bryan Gil,2022-2023,21.0,Spain,Tottenham,4,148,2,0,1,MF,23500000.0,Left,175.0,65.0
Cristiano Ronaldo,2022-2023,37.0,Portugal,Manchester Utd,10,525,4,1,0,FW,41000000.0,Right,187.0,83.0
Daniel Podence,2022-2023,26.0,Portugal,Wolves,32,1771,20,6,0,FW,16500000.0,Right,165.0,58.0
Dejan Kulusevski,2022-2023,22.0,Sweden,Tottenham,30,2067,23,2,7,MF,41500000.0,Left,186.0,75.0
Diogo Jota,2022-2023,25.0,Portugal,Liverpool,22,1131,12,7,4,FW,76000000.0,Right,178.0,73.0
Emi Buendía,2022-2023,25.0,Argentina,Aston Villa,38,2412,27,5,2,MF,26500000.0,Right,172.0,65.0
Emile Smith Rowe,2022-2023,22.0,England,Arsenal,12,172,0,0,2,MF,43000000.0,Right,182.0,72.0
Evan Ferguson,2022-2023,17.0,Ireland,Brighton,19,950,10,6,2,FW,700000.0,Right,177.0,74.0
Fabio Carvalho,2022-2023,19.0,Portugal,Liverpool,13,347,4,2,0,MF,7000000.0,Right,175.0,66.0
Fabio Vieira,2022-2023,22.0,Portugal,Arsenal,22,514,3,1,2,MF,23500000.0,Left,176.0,61.0
Gabriel Jesus,2022-2023,25.0,Brazil,Arsenal,26,2064,24,11,6,FW,48500000.0,Right,175.0,73.0
Gabriel Martinelli,2022-2023,21.0,Brazil,Arsenal,36,2789,34,15,5,FW,31500000.0,Right,178.0,75.0
Gonçalo Guedes,2022-2023,25.0,Portugal,Wolves,13,707,8,1,1,FW,41000000.0,Right,179.0,68.0
Hwang Hee-chan,2022-2023,26.0,South Korea,Wolves,27,1130,12,3,1,FW,12500000.0,Right,177.0,77.0
Jack Grealish,2022-2023,26.0,England,Manchester City,28,2055,23,5,7,FW,49500000.0,Right,180.0,81.0
Jay Stansfield,2022-2023,19.0,England,Fulham,3,87,1,0,0,FW,1300000.0,Right,182.0,68.0
Joelinton,2022-2023,25.0,Brazil,Newcastle Utd,32,2661,30,6,1,MF,7500000.0,Right,186.0,81.0
Keane Lewis-Potter,2022-2023,21.0,England,Brentford,10,321,3,0,1,FW,4200000.0,Right,170.0,67.0
Pablo Fornals,2022-2023,26.0,Spain,West Ham,32,1503,17,3,1,FW,21500000.0,Right,178.0,67.0
Pedro Neto,2022-2023,22.0,Portugal,Wolves,18,964,13,0,0,FW,28500000.0,Left,172.0,62.0
Raúl Jiménez,2022-2023,31.0,Mexico,Wolves,15,846,8,0,1,FW,25500000.0,Right,188.0,81.0
Richarlison,2022-2023,25.0,Brazil,Tottenham,27,1010,12,1,3,MF,34500000.0,Right,181.0,71.0
Roberto Firmino,2022-2023,30.0,Brazil,Liverpool,25,1213,13,11,4,FW,35500000.0,Right,181.0,76.0
Sam Greenwood,2022-2023,20.0,England,Leeds United,18,424,3,1,2,MF,38000000.0,Left,181.0,70.0
Sam Surridge,2022-2023,24.0,England,Nott'ham Forest,20,323,1,1,0,FW,3000000.0,Right,191.0,77.0
Saïd Benrahma,2022-2023,26.0,Algeria,West Ham,35,2069,22,6,3,FW,15500000.0,Right,172.0,67.0
Sergi Canós,2022-2023,25.0,Spain,Brentford,5,77,0,0,0,FW,2900000.0,Right,175.0,66.0
Willian,2022-2023,33.0,Brazil,Fulham,27,2126,25,5,5,FW,11500000.0,Right,175.0,77.0
Alisson,2022-2023,29.0,Brazil,Liverpool,37,3330,37,0,1,GK,79000000.0,Right,191.0,91.0
David Raya,2022-2023,26.0,Spain,Brentford,38,3420,38,0,0,GK,7000000.0,Right,183.0,75.0
Dean Henderson,2022-2023,25.0,England,Nott'ham Forest,18,1620,18,0,0,GK,18000000.0,Right,188.0,85.0
Ederson,2022-2023,28.0,Brazil,Manchester City,35,3150,35,0,1,GK,88000000.0,Left,188.0,86.0
Jack Butland,2022-2023,29.0,England,2 Teams,0,,0,,,GK,2100000.0,Right,196.0,95.0
José Sá,2022-2023,29.0,Portugal,Wolves,36,3240,36,0,0,GK,20000000.0,Right,192.0,84.0
Robert Sánchez,2022-2023,24.0,Spain,Brighton,23,2070,23,0,0,GK,13500000.0,Right,197.0,85.0
Sam Johnstone,2022-2023,29.0,England,Crystal Palace,9,810,9,0,0,GK,4700000.0,Right,193.0,85.0
Tom Heaton,2022-2023,36.0,England,Manchester Utd,0,,0,,,GK,350000.0,Right,188.0,85.0
Wayne Hennessey,2022-2023,35.0,Wales,Nott'ham Forest,4,271,3,0,0,GK,475000.0,Right,198.0,90.0
Adam Lallana,2022-2023,34.0,England,Brighton,16,722,12,2,1,MF,2600000.0,Right,178.0,73.0
Adama Traoré,2022-2023,26.0,Spain,Wolves,34,1496,12,2,1,FW,20500000.0,Right,178.0,86.0
Albert Sambi Lokonga,2022-2023,22.0,Belgium,2 Teams,15,734,8,0,0,MF,12500000.0,Right,183.0,73.0
Alejandro Garnacho,2022-2023,18.0,Argentina,Manchester Utd,19,569,5,3,2,FW,1500000.0,Right,180.0,70.0
Alex Oxlade-Chamberlain,2022-2023,28.0,England,Liverpool,9,335,4,1,0,FW,10500000.0,Right,175.0,70.0
Alexis Mac Allister,2022-2023,23.0,Argentina,Brighton,35,2886,31,10,2,MF,12000000.0,Right,176.0,72.0
Andreas Pereira,2022-2023,26.0,Brazil,Fulham,33,2692,33,4,6,MF,10000000.0,Right,177.0,70.0
Ben Chilwell,2022-2023,25.0,England,Chelsea,23,1408,15,2,2,DF,37000000.0,Left,180.0,77.0
Bernardo Silva,2022-2023,27.0,Portugal,Manchester City,34,2205,24,4,5,MF,97500000.0,Left,173.0,64.0
Bruno Fernandes,2022-2023,27.0,Portugal,Manchester Utd,37,3316,37,8,8,MF,78500000.0,Right,179.0,69.0
Bruno Guimarães,2022-2023,24.0,Brazil,Newcastle Utd,32,2726,32,4,5,MF,38500000.0,Right,182.0,74.0
Bryan Gil,2022-2023,21.0,Spain,Tottenham,4,148,2,0,1,MF,23500000.0,Left,175.0,65.0
Conor Gallagher,2022-2023,22.0,England,Chelsea,35,1621,18,3,1,MF,35500000.0,Right,182.0,77.0
Daniel Podence,2022-2023,26.0,Portugal,Wolves,32,1771,20,6,0,FW,16500000.0,Right,165.0,58.0
Dejan Kulusevski,2022-2023,22.0,Sweden,Tottenham,30,2067,23,2,7,MF,41500000.0,Left,186.0,75.0
Douglas Luiz,2022-2023,24.0,Brazil,Aston Villa,37,2927,33,6,6,MF,19500000.0,Right,175.0,66.0
Emi Buendía,2022-2023,25.0,Argentina,Aston Villa,38,2412,27,5,2,MF,26500000.0,Right,172.0,65.0
Emile Smith Rowe,2022-2023,22.0,England,Arsenal,12,172,0,0,2,MF,43000000.0,Right,182.0,72.0
Fabinho,2022-2023,28.0,Brazil,Liverpool,36,2671,31,0,2,MF,77000000.0,Right,188.0,78.0
Fabio Carvalho,2022-2023,19.0,Portugal,Liverpool,13,347,4,2,0,MF,7000000.0,Right,175.0,66.0
Fabio Vieira,2022-2023,22.0,Portugal,Arsenal,22,514,3,1,2,MF,23500000.0,Left,176.0,61.0
Fred,2022-2023,29.0,Brazil,Manchester Utd,35,1249,12,2,2,MF,20500000.0,Left,169.0,62.0
Gonçalo Guedes,2022-2023,25.0,Portugal,Wolves,13,707,8,1,1,FW,41000000.0,Right,179.0,68.0
Hwang Hee-chan,2022-2023,26.0,South Korea,Wolves,27,1130,12,3,1,FW,12500000.0,Right,177.0,77.0
Ivan Perišić,2022-2023,33.0,Croatia,Tottenham,34,2108,23,1,8,DF,26500000.0,Right,186.0,80.0
Jack Colback,2022-2023,32.0,England,Nott'ham Forest,11,497,4,0,0,MF,925000.0,Left,177.0,77.0
Jaïro Riedewald,2022-2023,25.0,Netherlands,Crystal Palace,6,64,0,0,0,DF,4500000.0,Left,182.0,79.0
Joe Willock,2022-2023,22.0,England,Newcastle Utd,35,2558,31,3,6,MF,12500000.0,Right,179.0,71.0
Joelinton,2022-2023,25.0,Brazil,Newcastle Utd,32,2661,30,6,1,MF,7500000.0,Right,186.0,81.0
John Stones,2022-2023,28.0,England,Manchester City,23,1846,21,2,2,DF,4700000.0,Right,193.0,85.0
Jorginho,2022-2023,30.0,Italy,2 Teams,32,2134,24,2,1,MF,51500000.0,Right,180.0,68.0
Josh Dasilva,2022-2023,23.0,England,Brentford,36,1389,14,4,2,MF,4600000.0,Left,184.0,75.0
João Moutinho,2022-2023,35.0,Portugal,Wolves,31,1780,20,0,2,MF,10500000.0,Right,170.0,61.0
Keane Lewis-Potter,2022-2023,21.0,England,Brentford,10,321,3,0,1,FW,4200000.0,Right,170.0,67.0
Kevin De Bruyne,2022-2023,31.0,Belgium,Manchester City,32,2417,28,7,16,MF,107500000.0,Right,181.0,70.0
Lucas Moura,2022-2023,29.0,Brazil,Tottenham,15,153,0,1,0,MF,20500000.0,Right,174.0,70.0
Matt Doherty,2022-2023,30.0,Ireland,Tottenham,12,667,7,1,0,DF,9000000.0,Right,182.0,87.0
Matt Ritchie,2022-2023,32.0,Scotland,Newcastle Utd,7,39,0,0,0,FW,2400000.0,Left,172.0,76.0
Orel Mangala,2022-2023,24.0,Belgium,Nott'ham Forest,27,1550,20,1,1,MF,8500000.0,Right,178.0,80.0
Pablo Fornals,2022-2023,26.0,Spain,West Ham,32,1503,17,3,1,FW,21500000.0,Right,178.0,67.0
Pedro Neto,2022-2023,22.0,Portugal,Wolves,18,964,13,0,0,FW,28500000.0,Left,172.0,62.0
Richarlison,2022-2023,25.0,Brazil,Tottenham,27,1010,12,1,3,MF,34500000.0,Right,181.0,71.0
Roberto Firmino,2022-2023,30.0,Brazil,Liverpool,25,1213,13,11,4,FW,35500000.0,Right,181.0,76.0
Rodri,2022-2023,26.0,Spain,Manchester City,36,2911,34,2,6,MF,88500000.0,Right,191.0,82.0
Ruben Loftus-Cheek,2022-2023,26.0,England,Chelsea,25,1536,19,0,1,MF,9500000.0,Right,191.0,88.0
Rúben Neves,2022-2023,25.0,Portugal,Wolves,35,3019,33,6,1,MF,47500000.0,Right,180.0,80.0
Rúben Vinagre,2022-2023,23.0,Portugal,Everton,2,26,0,0,0,DF,6500000.0,Left,174.0,71.0
Sam Greenwood,2022-2023,20.0,England,Leeds United,18,424,3,1,2,MF,38000000.0,Left,181.0,70.0
Saïd Benrahma,2022-2023,26.0,Algeria,West Ham,35,2069,22,6,3,FW,15500000.0,Right,172.0,67.0
Scott McTominay,2022-2023,25.0,Scotland,Manchester Utd,24,1160,10,1,0,MF,25000000.0,Right,193.0,88.0
Sean Longstaff,2022-2023,24.0,England,Newcastle Utd,33,2518,28,1,4,MF,6500000.0,Right,180.0,65.0
Tom Cairney,2022-2023,31.0,Scotland,Fulham,33,988,6,2,0,MF,4600000.0,Left,186.0,84.0
Tom Davies,2022-2023,24.0,England,Everton,19,538,4,0,0,MF,7500000.0,Right,180.0,70.0
Yves Bissouma,2022-2023,25.0,Mali,Tottenham,23,1010,10,0,0,MF,34500000.0,Right,182.0,80.0
Aaron Cresswell,2022-2023,32.0,England,West Ham,28,2235,24,0,1,DF,9500000.0,Left,175.0,66.0
Aaron Wan-Bissaka,2022-2023,24.0,DR Congo,Manchester Utd,19,1435,16,0,0,DF,26500000.0,Right,183.0,72.0
Adam Webster,2022-2023,27.0,England,Brighton,27,1985,23,0,0,DF,8500000.0,Right,191.0,75.0
Ben Chilwell,2022-2023,25.0,England,Chelsea,23,1408,15,2,2,DF,37000000.0,Left,180.0,77.0
Ben Davies,2022-2023,29.0,Wales,Tottenham,31,2288,26,2,2,DF,14500000.0,Left,181.0,76.0
Ben Godfrey,2022-2023,24.0,England,Everton,13,802,10,0,1,DF,22000000.0,Right,183.0,79.0
Ben Johnson,2022-2023,22.0,England,West Ham,17,866,9,0,0,DF,12500000.0,Right,181.0,71.0
Ben White,2022-2023,24.0,England,Arsenal,38,3055,36,2,5,DF,32500000.0,Right,185.0,77.0
Dan Burn,2022-2023,30.0,England,Newcastle Utd,38,3111,35,1,0,DF,8500000.0,Left,198.0,87.0
Diogo Dalot,2022-2023,23.0,Portugal,Manchester Utd,26,2154,24,1,2,DF,21000000.0,Right,184.0,76.0
Hugo Bueno,2022-2023,19.0,Spain,Wolves,21,1310,16,0,1,DF,600000.0,Left,180.0,73.0
Ivan Perišić,2022-2023,33.0,Croatia,Tottenham,34,2108,23,1,8,DF,26500000.0,Right,186.0,80.0
James Tarkowski,2022-2023,29.0,England,Everton,38,3420,38,1,1,DF,14500000.0,Right,188.0,81.0
Joe Gomez,2022-2023,25.0,England,Liverpool,21,1466,15,0,0,DF,34000000.0,Right,188.0,77.0
Joe Worrall,2022-2023,25.0,England,Nott'ham Forest,30,2224,21,1,0,DF,6000000.0,Right,190.0,90.0
John Stones,2022-2023,28.0,England,Manchester City,23,1846,21,2,2,DF,4700000.0,Right,193.0,85.0
João Cancelo,2022-2023,28.0,Portugal,Manchester City,17,1274,16,2,1,DF,82500000.0,Right,182.0,74.0
Joël Matip,2022-2023,30.0,Cameroon,Liverpool,14,1092,12,1,0,DF,34500000.0,Right,194.0,90.0
Joël Veltman,2022-2023,30.0,Netherlands,Brighton,31,2188,25,1,1,DF,11500000.0,Right,184.0,75.0
Levi Colwill,2022-2023,19.0,England,Brighton,17,1220,13,0,2,DF,3500000.0,Left,191.0,83.0
Lucas Moura,2022-2023,29.0,Brazil,Tottenham,15,153,0,1,0,MF,20500000.0,Right,174.0,70.0
Mads Roerslev,2022-2023,23.0,Denmark,Brentford,20,1108,12,0,0,DF,2100000.0,Right,184.0,67.0
Matt Doherty,2022-2023,30.0,Ireland,Tottenham,12,667,7,1,0,DF,9000000.0,Right,182.0,87.0
Matt Targett,2022-2023,26.0,England,Newcastle Utd,17,610,6,0,0,DF,12000000.0,Left,183.0,70.0
Max Kilman,2022-2023,25.0,England,Wolves,37,3307,37,0,0,DF,14500000.0,Left,194.0,89.0
Neco Williams,2022-2023,21.0,Wales,Nott'ham Forest,31,1882,20,1,0,DF,4000000.0,Right,183.0,72.0
Rob Holding,2022-2023,26.0,England,Arsenal,14,566,6,1,0,DF,11500000.0,Right,189.0,75.0
Ruben Loftus-Cheek,2022-2023,26.0,England,Chelsea,25,1536,19,0,1,MF,9500000.0,Right,191.0,88.0
Ryan Sessegnon,2022-2023,22.0,England,Tottenham,17,813,9,2,0,DF,12000000.0,Left,178.0,70.0
Rúben Dias,2022-2023,25.0,Portugal,Manchester City,26,1998,22,0,0,DF,107500000.0,Right,187.0,82.0
Thiago Silva,2022-2023,37.0,Brazil,Chelsea,27,2352,26,0,2,DF,12000000.0,Right,183.0,79.0
Tim Ream,2022-2023,34.0,United States,Fulham,33,2897,33,1,0,DF,525000.0,Left,186.0,80.0
Tosin Adarabioyo,2022-2023,24.0,England,Fulham,25,2085,23,1,0,DF,11500000.0,Right,196.0,80.0
Toti Gomes,2022-2023,23.0,Portugal,Wolves,17,984,10,1,0,DF,2600000.0,Left,187.0,83.0
Trent Alexander-Arnold,2022-2023,23.0,England,Liverpool,37,2923,34,2,9,DF,100500000.0,Right,180.0,69.0
Aaron Ramsey,2023-2024,20.0,England,Burnley,14,527,5,0,0,MF,,,,
Abdoulaye Doucouré,2023-2024,30.0,Mali,Everton,32,2629,32,7,1,FW,,,,
Adam Lallana,2023-2024,35.0,England,Brighton,25,850,13,0,1,MF,,,,
Adama Traoré,2023-2024,27.0,Spain,Fulham,17,377,1,2,3,FW,,,,
Alejandro Garnacho,2023-2024,19.0,Argentina,Manchester Utd,36,2565,30,7,4,FW,,,,
Alejo Véliz,2023-2024,19.0,Argentina,Tottenham,8,50,0,1,0,FW,,,,
Aleksandar Mitrović,2023-2024,28.0,Serbia,Fulham,1,33,0,0,0,FW,,,,
Alex Iwobi,2023-2024,27.0,Nigeria,Fulham,30,2192,25,5,2,FW,,,,
Alexander Isak,2023-2024,23.0,Sweden,Newcastle Utd,30,2255,27,21,2,FW,,,,
Amad Diallo,2023-2024,21.0,Ivory Coast,Manchester Utd,9,390,3,1,1,FW,,,,
Anass Zaroury,2023-2024,22.0,Morocco,Burnley,6,152,1,0,0,FW,,,,
Andros Townsend,2023-2024,32.0,England,Luton Town,27,1210,14,1,3,MF,,,,
André Gomes,2023-2024,30.0,Portugal,Everton,12,508,3,1,0,MF,,,,
Ansu Fati,2023-2024,20.0,Spain,Brighton,19,521,3,2,0,MF,,,,
Anthony Elanga,2023-2024,21.0,Sweden,Nott'ham Forest,36,2433,25,5,9,FW,,,,
Anthony Gordon,2023-2024,22.0,England,Newcastle Utd,35,2890,34,11,10,FW,,,,
Anthony Martial,2023-2024,27.0,France,Manchester Utd,13,448,5,1,0,FW,,,,
Antoine Semenyo,2023-2024,23.0,Ghana,Bournemouth,33,2105,25,8,2,FW,,,,
Antony,2023-2024,23.0,Brazil,Manchester Utd,29,1324,15,1,1,FW,,,,
Armando Broja,2023-2024,21.0,Albania,2 Teams,21,542,6,1,1,FW,,,,
Arnaut Danjuma,2023-2024,26.0,Netherlands,Everton,14,595,5,1,0,MF,,,,
Ben Brereton,2023-2024,24.0,Chile,Sheffield Utd,14,1105,14,6,1,FW,,,,
Ben Johnson,2023-2024,23.0,England,West Ham,14,544,4,0,0,DF,,,,
Benicio Boaitey,2023-2024,19.0,England,Brighton,5,40,0,0,0,FW,,,,
Benson Manuel,2023-2024,26.0,Angola,Burnley,8,116,1,0,0,MF,,,,
Bernardo Silva,2023-2024,28.0,Portugal,Manchester City,33,2578,29,6,9,MF,,,,
Beto,2023-2024,25.0,Guinea-Bissau,Everton,30,951,9,3,0,FW,,,,
Bobby De Cordova-Reid,2023-2024,30.0,Jamaica,Fulham,33,1423,17,6,2,FW,,,,
Brennan Johnson,2023-2024,22.0,Wales,2 Teams,35,2322,26,5,10,FW,,,,
Bruno Fernandes,2023-2024,28.0,Portugal,Manchester Utd,35,3118,35,10,8,MF,,,,
Bryan Gil,2023-2024,22.0,Spain,Tottenham,11,209,2,0,0,FW,,,,
Bryan Mbeumo,2023-2024,23.0,Cameroon,Brentford,25,1960,22,9,6,FW,,,,
Bukayo Saka,2023-2024,21.0,England,Arsenal,35,2919,35,16,9,FW,,,,
Bénie Traoré,2023-2024,20.0,Ivory Coast,Sheffield Utd,8,387,3,0,0,FW,,,,
Callum Hudson-Odoi,2023-2024,22.0,England,Nott'ham Forest,29,1854,20,8,1,FW,,,,
Callum Wilson,2023-2024,31.0,England,Newcastle Utd,20,991,9,9,1,FW,,,,
